scan 2 20/11/2022 08:13:50		
temp(C)	power	time(seconds)
99,8852005	-537,6036377	6,122900486
99,7759552	-550,4173584	12,23656464
99,67411804	-435,9098511	18,35373306
99,57297516	-346,2788696	24,47248268
99,47209167	-275,6505127	30,58248329
99,37124634	-213,3061829	36,69745636
99,27050781	-157,3576965	42,81276321
99,1696701	-108,3756409	48,92715454
99,06890869	-67,08997345	55,03937912
98,96812439	-33,34924698	61,15188217
98,86733246	-6,521397591	67,26595306
98,76638794	14,24056911	73,38975525
98,66551971	29,89372063	79,50149536
98,56456757	41,46002197	85,6217041
98,46363831	49,70457458	91,7371521
98,3627243	55,45144272	97,85218811
98,2618866	59,22472382	103,9593811
98,16065216	61,4486084	110,0900726
98,05961609	62,54631042	116,2051086
97,95860291	62,83705521	122,314682
97,85747528	62,51509476	128,4304657
97,75637054	61,71495056	134,5479431
97,65530396	60,64306641	140,6562805
97,55396271	59,4004631	146,786026
97,45271301	58,01378632	152,9011993
97,35146332	56,54708481	159,0219269
97,25027466	55,08724213	165,1328735
97,14881897	53,62577057	171,2591858
97,04740143	52,11413574	177,3838196
96,9460907	50,65896606	183,4970093
96,84482574	49,30950165	189,6101379
96,7433548	48,08448029	195,7323608
96,64199066	46,97174835	201,8467712
96,54051208	45,98828506	207,9692688
96,43915558	45,2134285	214,0798645
96,33765411	44,52769852	220,2008514
96,23628998	43,70002747	226,3117371
96,13488007	42,80859756	232,4254913
96,03340912	41,88051224	238,542572
95,93180084	40,96814346	244,6641235
95,83028412	40,03118134	250,7824554
95,72874451	39,14762497	256,899292
95,62718964	38,27456284	263,0158081
95,52561188	37,46463013	269,1349487
95,42405701	36,65756607	275,249054
95,32249451	35,89424515	281,3652649
95,22097015	35,19041061	287,4773865
95,11943817	34,52318573	293,5898438
95,01787567	33,86431885	299,7035217
94,91627502	33,26526642	305,818634
94,8147583	32,68336487	311,9281921
94,71307373	32,12149811	318,047699
94,61148834	31,59889603	324,1593628
94,50992584	31,08082771	330,2683105
94,40840912	30,63593292	336,3767395
94,30672455	30,20995712	342,4943542
94,20500946	29,78985977	348,6116638
94,10338593	29,37143517	354,7242126
94,00183105	28,99966431	360,8326111
93,90009308	28,60309792	366,9485779
93,7983551	28,23499489	373,0663757
93,69667816	27,91856194	379,1807556
93,59494781	27,62470436	385,2959595
93,49330139	27,32876778	391,4077759
93,39165497	26,99644089	397,5173645
93,28986359	26,71928596	403,6369324
93,18811798	26,42869377	409,7513733
93,08638	26,16602516	415,8705139
92,98456573	25,89245033	421,9868164
92,88283539	25,65742493	428,1002808
92,78113556	25,4007206	434,2106018
92,67949677	25,14998627	440,3187866
92,57778931	24,91333961	446,4306335
92,47605896	24,71121979	452,5433044
92,37434387	24,50581169	458,6529236
92,27251434	24,27336121	464,7711792
92,17060852	24,08360672	470,8948975
92,0688324	23,90447235	477,0078125
91,96709442	23,70830345	483,1175842
91,86527252	23,52559662	489,2369995
91,76346588	23,35822868	495,3520508
91,66164398	23,20911217	501,4677734
91,55986786	23,04201889	507,5794678
91,45805359	22,86682701	513,6948242
91,35614014	22,73101425	519,8162842
91,25430298	22,59677124	525,9314575
91,15244293	22,44759941	532,0493164
91,05056763	22,29894066	538,1680298
90,94871521	22,16832352	544,2838135
90,84694672	22,04922104	550,3952026
90,7450943	21,92335129	556,5117798
90,64315796	21,8024826	562,6322632
90,54132843	21,66818047	568,7484131
90,43941498	21,55896759	574,8659058
90,33750153	21,45868111	580,9874268
90,23564148	21,35737038	587,1027832
90,1337738	21,23845482	593,2158813
90,03192902	21,11922264	599,3312378
89,93000031	21,00384712	605,4515991
89,82823944	20,90616226	611,559082
89,72648621	20,81621361	617,6694946
89,62448883	20,72472382	623,7937012
89,52259064	20,60961914	629,9107056
89,42071533	20,49608612	636,0280151
89,31877136	20,40279961	642,1461182
89,21682739	20,3165226	648,2663574
89,11494446	20,23221016	654,378479
89,01306915	20,13094521	660,4956665
88,91107941	20,05428123	666,618103
88,80913544	19,96088028	672,7388306
88,70717621	19,87696266	678,8582764
88,60533905	19,80578232	684,9700928
88,50346375	19,72478867	691,0856934
88,40164185	19,62115669	697,1966553
88,29975891	19,54654503	703,3116455
88,1978302	19,47930527	709,4290771
88,09593964	19,41280174	715,5435181
87,99408722	19,3347683	721,6563721
87,89235687	19,25501442	727,7634888
87,79044342	19,18223572	733,8813477
87,68859863	19,10650444	739,9940796
87,58682251	19,02485275	746,1013184
87,48493958	18,94557571	752,2175293
87,38305664	18,88009262	758,3297119
87,28119659	18,80194664	764,4438477
87,17938995	18,71977997	770,5511475
87,07744598	18,66355896	776,6740723
86,97550964	18,60911369	782,7869873
86,87375641	18,53363228	788,8953247
86,77185822	18,445755	795,0124512
86,66993713	18,37163162	801,126709
86,56809235	18,31998253	807,2409668
86,46628571	18,24993896	813,3505859
86,36430359	18,18708611	819,4703979
86,26230621	18,12564659	825,5897827
86,16049194	18,05709457	831,7001953
86,05862427	17,99449158	837,8115845
85,9567337	17,93119812	843,9306641
85,85469055	17,89515305	850,0494385
85,75281525	17,84589386	856,1635742
85,65083313	17,78691673	862,2891846
85,54891205	17,71320152	868,4017944
85,447052	17,67408752	874,5145874
85,34507751	17,62117767	880,6322632
85,2431488	17,55725479	886,7501221
85,14124298	17,49742508	892,8650513
85,03941345	17,45446777	898,9747314
84,93757629	17,40777016	905,0858154
84,83571625	17,34776497	911,1954346
84,73381042	17,28491974	917,3150024
84,63188934	17,22247696	923,428772
84,53006744	17,1423912	929,539978
84,42824554	17,08205795	935,6479492
84,32634735	17,02256203	941,7645874
84,22444153	16,9704628	947,8776855
84,12260437	16,90164185	953,9903564
84,02070618	16,84247208	960,1054077
83,91877747	16,78476143	966,2182007
83,81693268	16,73300362	972,3278198
83,71520233	16,65740395	978,4362183
83,6132431	16,59107018	984,5543823
83,51131439	16,53611565	990,6710815
83,4094162	16,4956913	996,7844238
83,30750275	16,4350605	1002,900513
83,20549774	16,37778664	1009,021057
83,10349274	16,32800484	1015,139465
83,00163269	16,27342415	1021,255859
82,89965057	16,19907761	1027,37146
82,79776764	16,14036179	1033,484497
82,69580078	16,08901978	1039,603882
82,59381866	16,04634094	1045,726807
82,49181366	15,98252869	1051,843506
82,38989258	15,93896866	1057,960083
82,28793335	15,89419651	1064,077148
82,18597412	15,8331089	1070,196655
82,08401489	15,77972889	1076,313721
81,98202515	15,73205566	1082,432129
81,88005829	15,6920433	1088,550293
81,77807617	15,63852978	1094,671143
81,67623138	15,59169674	1100,783691
81,57422638	15,54485607	1106,901978
81,47212982	15,50669193	1113,028198
81,37020111	15,45373344	1119,14563
81,26831055	15,40356636	1125,258667
81,16630554	15,35478306	1131,379028
81,06441498	15,30580044	1137,490601
80,96248627	15,24472904	1143,606323
80,8605957	15,19696331	1149,721436
80,75859833	15,15065002	1155,841431
80,65665436	15,08623505	1161,958252
80,55473328	15,03212833	1168,073364
80,45284271	14,98410511	1174,187134
80,35092926	14,95001698	1180,301758
80,24899292	14,90751266	1186,418335
80,14717102	14,86240959	1192,528687
80,04523468	14,81738758	1198,644409
79,94327545	14,77895164	1204,762207
79,841362	14,72914314	1210,876221
79,73940277	14,68519783	1216,994141
79,63737488	14,69769382	1223,116821
79,53536987	14,74487019	1229,239014
79,43340302	14,76933479	1235,354858
79,3314209	14,74747753	1241,472046
79,22944641	14,67498398	1247,593506
79,12754822	14,59753036	1253,70752
79,02567291	14,49554634	1259,818237
78,92375183	14,41013241	1265,935669
78,82182312	14,39105797	1272,050171
78,71986389	14,45486546	1278,165161
78,61803436	14,45384312	1284,278931
78,51607513	14,4100399	1290,394165
78,41426086	14,3571806	1296,503784
78,31230927	14,30285835	1302,621094
78,21044159	14,26301289	1308,733765
78,10837555	14,2388258	1314,857666
78,0065155	14,23516464	1320,970459
77,9046936	14,23829746	1327,080078
77,802742	14,23364162	1333,196411
77,70069885	14,18039417	1339,320679
77,59864807	14,0819521	1345,440918
77,49668121	13,97241974	1351,559937
77,39473724	13,86487103	1357,676025
77,29290771	13,78691864	1363,7854
77,19093323	13,73210907	1369,904175
77,08911133	13,68053913	1376,014404
76,98713684	13,64121914	1382,131592
76,88510895	13,60342979	1388,255249
76,78335571	13,57579517	1394,359985
76,68157959	13,525877	1400,465698
76,57962036	13,48683739	1406,584473
76,47766113	13,44994926	1412,70105
76,37572479	13,41045189	1418,81665
76,2739563	13,36547661	1424,923584
76,17206573	13,31411076	1431,036621
76,07013702	13,28625107	1437,151978
75,96828461	13,27021313	1443,263916
75,86639404	13,22194099	1449,37915
75,7645874	13,16885853	1455,487305
75,66260529	13,12729931	1461,604858
75,5607605	13,093297	1467,715088
75,45888519	13,0631485	1473,828857
75,35688782	13,01586628	1479,949829
75,25499725	12,97944641	1486,060669
75,15312195	12,94454002	1492,172729
75,05111694	12,90065289	1498,296021
74,94921112	12,86345291	1504,407593
74,84722137	12,83402157	1510,529175
74,74523926	12,8154192	1516,648315
74,64334869	12,78456879	1522,761108
74,54136658	12,76093483	1528,880127
74,43939972	12,72433472	1534,998779
74,33759308	12,69719028	1541,106201
74,23557281	12,67703533	1547,227783
74,13360596	12,6537466	1553,343994
74,03168488	12,6348753	1559,461792
73,92985535	12,61814117	1565,570679
73,82789612	12,58792973	1571,688965
73,72587585	12,55682659	1577,808594
73,62391663	12,51774693	1583,926758
73,5219574	12,48124313	1590,045166
73,42006683	12,44912815	1596,157593
73,31813812	12,41245079	1602,272949
73,21625519	12,38122845	1608,388062
73,11437225	12,35302258	1614,501099
73,01239014	12,32584095	1620,618896
72,91043854	12,30521488	1626,739014
72,80857849	12,26493645	1632,848022
72,70667267	12,23953247	1638,962646
72,60469818	12,21048641	1645,08252
72,50273895	12,18024063	1651,19812
72,40077972	12,14446831	1657,314575
72,29878235	12,10897255	1663,435913
72,19694519	12,08806324	1669,54248
72,09502411	12,06509209	1675,659912
71,99304962	12,03516293	1681,779053
71,89118195	12,01569176	1687,891602
71,78929138	12,0027256	1694,002075
71,68746948	11,98705959	1700,114014
71,58562469	11,9606123	1706,224731
71,48368835	11,9468298	1712,339844
71,38170624	11,94122505	1718,461426
71,27981567	11,93484497	1724,573975
71,17781067	11,92733383	1730,692261
71,07585144	11,92133522	1736,81311
70,97397614	11,91459942	1742,920288
70,87208557	11,91323566	1749,036499
70,77022552	11,91566467	1755,148315
70,66827393	11,91154766	1761,265259
70,56663513	11,89974022	1767,362671
70,46482086	11,8765173	1773,474365
70,36282349	11,85269833	1779,593628
70,26078033	11,84049511	1785,713623
70,15879822	11,82822227	1791,835083
70,0569458	11,80668354	1797,942993
69,95508575	11,79138279	1804,057983
69,85316467	11,77967834	1810,171143
69,75123596	11,77622223	1816,286987
69,64928436	11,76239395	1822,404907
69,54736328	11,74599266	1828,521362
69,44528961	11,73620415	1834,644165
69,34331512	11,73175812	1840,762451
69,24143982	11,7290678	1846,876587
69,13945007	11,72769451	1852,993286
69,03754425	11,72171116	1859,108643
68,93549347	11,71457863	1865,232422
68,83355713	11,70751953	1871,345337
68,73180389	11,70121288	1877,452515
68,62998962	11,7004385	1883,560791
68,52816772	11,7034359	1889,669067
68,4263382	11,70506191	1895,779541
68,32460785	11,7062521	1901,885498
68,22267151	11,71093941	1908,000854
68,12076569	11,70976543	1914,114868
68,01887512	11,70715523	1920,229004
67,91693115	11,71022701	1926,346191
67,814888	11,71133804	1932,468384
67,71292114	11,71341896	1938,585938
67,61103821	11,71579456	1944,697754
67,50914764	11,71921444	1950,813354
67,40748596	11,72485638	1956,911865
67,30596924	11,72924137	1963,001953
67,20399475	11,72992706	1969,121094
67,10202789	11,73262119	1975,237305
67,00008392	11,73851299	1981,357666
66,89822388	11,75092125	1987,469727
66,79631042	11,76802921	1993,581543
66,69451141	11,78960228	1999,689819
66,59267426	11,80418587	2005,801514
66,49066925	11,82822704	2011,921753
66,38867188	11,85637093	2018,040161
66,28672028	11,89317703	2024,157227
66,18482971	11,92261505	2030,270142
66,08302307	11,94351673	2036,379761
65,98101807	11,97453022	2042,497925
65,87909698	12,00396919	2048,615234
65,77716064	12,03004074	2054,731934
65,67517853	12,07287598	2060,851807
65,57324982	12,11031723	2066,969238
65,47131348	12,15860939	2073,08374
65,36930847	12,19393635	2079,203857
65,26739502	12,24470425	2085,31665
65,16539001	12,29716873	2091,437012
65,06365204	12,32726669	2097,540527
64,96185303	12,36179733	2103,647949
64,85993195	12,42085075	2109,76416
64,75810242	12,45287609	2115,875732
64,65608978	12,49683475	2121,996094
64,55407715	12,53832531	2128,117676
64,45217133	12,58352089	2134,22998
64,35037231	12,61949921	2140,338135
64,24852753	12,65963364	2146,449219
64,14669037	12,69829273	2152,558105
64,04485321	12,7270565	2158,667969
63,94311523	12,77069759	2164,77417
63,84110641	12,83032703	2170,892822
63,73918152	12,88813591	2177,009521
63,63729858	12,96526718	2183,123779
63,53534698	13,0400238	2189,236816
63,43338394	13,0771389	2195,356934
63,33140945	13,13064766	2201,476807
63,22937393	13,17122364	2207,596924
63,12744522	13,19408798	2213,713623
63,02550507	13,22903061	2219,832275
62,92351151	13,25830364	2225,950439
62,82152557	13,27547741	2232,070313
62,71971893	13,3011322	2238,178467
62,61776352	13,33817482	2244,294922
62,51592636	13,3846693	2250,405762
62,41396332	13,4213028	2256,523193
62,31200027	13,44502258	2262,63916
62,21008682	13,49047184	2268,75415
62,10820389	13,52738285	2274,868164
62,00638199	13,54650211	2280,975342
61,90454102	13,54781437	2287,085693
61,80273056	13,54292202	2293,196777
61,70074463	13,54450607	2299,314209
