scan 1420/11/202208:13:50		
temp(C)	power	time(seconds)
99,88513947	-537,7584839	6,118543148
99,77593231	-550,4154053	12,23585701
99,6740799	-435,5120239	18,35171127
99,57292175	-345,7674561	24,47032928
99,47193909	-275,2320251	30,58538628
99,3710556	-213,1156769	36,70455551
99,27018738	-157,2879181	42,82131577
99,16936493	-108,5597382	48,93801498
99,06851959	-67,40512085	55,056633
98,96773529	-33,85758209	61,16896057
98,86690521	-7,127049923	67,28153229
98,7660141	13,57718277	73,40148163
98,66512299	29,19839096	79,51515961
98,56409454	40,69341278	85,63885498
98,46310425	48,85528946	91,75836182
98,36210632	54,52528	97,87545013
98,26122284	58,32670212	103,9857407
98,16021729	60,5261879	110,0987473
98,05910492	61,62185669	116,2229462
97,95809937	61,93258286	122,3338928
97,85694122	61,56489563	128,4509888
97,75597382	60,7454834	134,5545959
97,65494537	59,67530441	140,6641998
97,5537262	58,42882919	146,7838135
97,4524231	57,06268692	152,9050446
97,35112762	55,65097809	159,0257568
97,24990845	54,17143631	165,1391907
97,14859772	52,69604111	171,2558289
97,04727173	51,20584106	177,374054
96,94594574	49,74876785	183,4911957
96,84446716	48,38421249	189,6174011
96,74317169	47,15394974	195,7268829
96,64185333	46,03884888	201,8411255
96,54040527	45,04895401	207,9568481
96,43901062	44,28338623	214,0740204
96,33751678	43,5782547	220,1914673
96,23610687	42,75034714	226,3038483
96,13469696	41,85603714	232,4190979
96,03322601	40,93133163	238,5363464
95,9317627	39,98394012	244,6486511
95,83015442	39,06622696	250,7708435
95,72893524	38,17512894	256,8685913
95,62750244	37,25862885	262,9776611
95,52589417	36,4031601	269,0980225
95,42444611	35,6008606	275,2064514
95,32281494	34,87722015	281,3258972
95,22121429	34,20365906	287,4433594
95,11962891	33,50932312	293,5598755
95,01796722	32,85434723	299,6820374
94,91635895	32,24003601	305,7949829
94,8147049	31,65006065	311,9087219
94,71299744	31,07236099	318,0316467
94,61142731	30,54721069	324,1427307
94,50988007	30,04621124	330,2548523
94,40821075	29,58524704	336,3684082
94,30665588	29,10241318	342,4779053
94,20491028	28,6821022	348,5999146
94,10315704	28,28201866	354,7180786
94,00137329	27,89661026	360,8378296
93,89954376	27,52319145	366,9628601
93,79785156	27,13481712	373,0751038
93,69611359	26,78602219	379,1923218
93,59447479	26,47768211	385,3030701
93,49269104	26,25937271	391,4231262
93,39086914	26,06580544	397,5446777
93,28907013	25,81694031	403,6625061
93,18727875	25,54836655	409,782196
93,08562469	25,27780533	415,8918762
92,9839859	24,99003983	421,9987793
92,88217163	24,69288254	428,1192017
92,78037262	24,40666962	434,2381592
92,67877197	24,15334511	440,340332
92,57700348	23,88093376	446,458252
92,47520447	23,64936256	452,5703735
92,37353516	23,41157532	458,6809082
92,27171326	23,21286201	464,7969055
92,16988373	23,09782791	470,9158936
92,06804657	22,92222595	477,0323486
91,96614075	22,70727539	483,1531982
91,86437225	22,50880432	489,2669373
91,76265717	22,31825256	495,3788147
91,66082764	22,12508011	501,4940491
91,55892944	21,96066475	507,6128235
91,45727539	21,75680733	513,71875
91,35542297	21,57980156	519,8366089
91,25361633	21,43363571	525,953125
91,15182495	21,25412369	532,0643921
91,04985809	21,09470367	538,187439
90,94794464	20,92852974	544,3063965
90,84618378	20,72869682	550,4191895
90,74437714	20,57078743	556,5297852
90,6427002	20,42852402	562,6359253
90,54095459	20,27740669	568,7451782
90,43938446	20,1857605	574,8464966
90,33757019	20,10070229	580,9596558
90,23574829	20,03711891	587,071167
90,13387299	19,99427605	593,1879883
90,03205872	19,90634537	599,2993774
89,93022156	19,80299568	605,4174194
89,82830048	19,67720413	611,5349731
89,7264328	19,58691597	617,6513672
89,62447357	19,48454666	623,7705078
89,52262115	19,38693047	629,8846436
89,4207077	19,30618858	636,0023804
89,31881714	19,24686432	642,1200562
89,21698761	19,12835121	648,2341919
89,11508179	19,02895164	654,3478394
89,01319885	18,94813538	660,4650269
88,91117096	18,84610367	666,5899658
88,8093338	18,73438644	672,7040405
88,70736694	18,65462303	678,822876
88,60547638	18,59449577	684,9394531
88,50359344	18,52626038	691,0535889
88,40172577	18,45116615	697,1673584
88,29981232	18,37103271	703,2844849
88,19801331	18,27542114	709,3965454
88,09617615	18,19760895	715,5081787
87,99433136	18,12356186	721,6206055
87,89243317	18,06999397	727,7364502
87,79040527	17,98829842	733,8584595
87,68848419	17,90535355	739,9766235
87,58665466	17,81715393	746,0872803
87,48467255	17,72240257	752,2084351
87,38272095	17,66811943	758,3262939
87,2808609	17,59538841	764,4406738
87,17909241	17,52429199	770,5475464
87,07710266	17,46979523	776,6690063
86,97518158	17,40639114	782,7841187
86,87333679	17,32836914	788,8972778
86,77139282	17,2348671	795,0161133
86,66944885	17,14941978	801,1324463
86,56761169	17,08472061	807,2441406
86,46564484	17,02621078	813,364563
86,36363983	16,9727478	819,486084
86,26173401	16,92420197	825,6010742
86,15982819	16,85026932	831,7172852
86,05799866	16,7673378	837,8282471
85,95608521	16,68783569	843,942688
85,85415649	16,64208221	850,0612793
85,75224304	16,5886631	856,1744995
85,65045166	16,52290535	862,2835693
85,54860687	16,47158051	868,3951416
85,4466629	16,40936279	874,5123291
85,34477997	16,33479118	880,6264038
85,24298096	16,26573372	886,7360229
85,14108276	16,20275307	892,8497314
85,03929901	16,14896393	898,9580688
84,93745422	16,0845108	905,0728149
84,83548737	16,01799202	911,1881104
84,73360443	15,95615005	917,3021851
84,63172913	15,89286137	923,4153442
84,52996063	15,83158779	929,5197144
84,42806244	15,78110981	935,6339111
84,32628632	15,7309866	941,7450562
84,22433472	15,6807766	947,8601074
84,12238312	15,60864162	953,9793701
84,02039337	15,54903793	960,0991821
83,91841888	15,48630238	966,2182007
83,81655884	15,42971802	972,3297119
83,7146225	15,34798622	978,4464722
83,61273193	15,28114986	984,5591431
83,510849	15,24320316	990,6733398
83,40894318	15,19966221	996,7869873
83,30700684	15,13431263	1002,904236
83,20508575	15,0897541	1009,020996
83,10309601	15,04215145	1015,138611
83,00128174	14,99021339	1021,249268
82,89935303	14,92527962	1027,364502
82,79740906	14,876091	1033,483521
82,69543457	14,84327412	1039,601074
82,59367371	14,8024044	1045,707031
82,49165344	14,73260593	1051,829468
82,38975525	14,68379784	1057,942505
82,28790283	14,62416553	1064,053223
82,18598938	14,56943417	1070,170776
82,08408356	14,50298977	1076,285156
81,98213959	14,45281315	1082,403809
81,88018799	14,41762829	1088,519165
81,77815247	14,37054539	1094,642578
81,67627716	14,3123455	1100,754761
81,57430267	14,2491827	1106,872681
81,47245026	14,19720936	1112,984253
81,37052155	14,14386749	1119,100464
81,26863861	14,09510326	1125,212036
81,16674042	14,04993057	1131,327026
81,06490326	14,01073265	1137,436401
80,96292877	13,95678711	1143,557617
80,86109161	13,90468502	1149,667969
80,75914764	13,85185528	1155,782715
80,65714264	13,80036259	1161,904541
80,55529022	13,73666668	1168,01416
80,45346069	13,68098545	1174,124512
80,3515625	13,62634373	1180,236694
80,24969482	13,57591438	1186,351074
80,14781189	13,52637386	1192,467407
80,04584503	13,47999573	1198,581055
79,94403076	13,43702888	1204,690796
79,84207153	13,38480473	1210,808716
79,74015808	13,34177113	1216,924805
79,63833618	13,29122543	1223,035034
79,53638458	13,25449467	1229,15271
79,43437195	13,21767139	1235,272339
79,33236694	13,18096733	1241,392944
79,23042297	13,1339016	1247,508301
79,12844086	13,08502388	1253,629272
79,026474	13,01567268	1259,746094
78,92460632	12,9572525	1265,858887
78,82268524	12,91661167	1271,972168
78,72072601	12,89674282	1278,091675
78,61882782	12,86401653	1284,203247
78,51685333	12,81242752	1290,326294
78,41491699	12,78770638	1296,440674
78,31295776	12,73938179	1302,557129
78,21096039	12,67287827	1308,678345
78,10900116	12,61871624	1314,794922
78,00706482	12,58260918	1320,912109
77,90518188	12,54309273	1327,02356
77,80323029	12,49056244	1333,143677
77,70124817	12,44243908	1339,261108
77,59931183	12,40537262	1345,375488
77,49739838	12,35534096	1351,493408
77,39557648	12,30809593	1357,602295
77,29369354	12,23380756	1363,713989
77,19178009	12,16142273	1369,828491
77,08987427	12,099473	1375,942749
76,98783112	12,05477524	1382,065186
76,88588715	12,02934361	1388,183105
76,7841568	12,00930595	1394,284058
76,68225098	11,97805309	1400,400757
76,58032227	11,9476099	1406,515503
76,47846985	11,91694641	1412,627686
76,37660217	11,89778519	1418,740845
76,27485657	11,86793613	1424,845093
76,17293549	11,82560349	1430,960938
76,07102203	11,79394913	1437,073853
75,96904755	11,74855518	1443,194336
75,86711884	11,70948601	1449,310669
75,76516724	11,66646957	1455,427002
75,66316223	11,62833405	1461,550537
75,56119537	11,59397793	1467,665894
75,45926666	11,57614708	1473,780396
75,3572464	11,55636597	1479,901855
75,25543976	11,53442383	1486,011475
75,15355682	11,4950943	1492,122437
75,05167389	11,45781231	1498,234009
74,94978333	11,43450069	1504,350098
74,84790802	11,39937878	1510,463135
74,74604797	11,3368988	1516,572388
74,64424133	11,28101158	1522,682983
74,5422821	11,24587631	1528,79834
74,44039154	11,1808815	1534,91272
74,33842468	11,0852108	1541,031494
74,2364502	11,00601482	1547,147217
74,13449097	10,95781898	1553,266846
74,03259277	10,94404125	1559,381104
73,93071747	10,92152214	1565,49353
73,8288269	10,90944195	1571,603027
73,72691345	10,89996147	1577,720703
73,62499237	10,88636208	1583,836304
73,52310944	10,85537624	1589,949341
73,42106628	10,83169556	1596,073608
73,31900024	10,80910778	1602,195923
73,21717072	10,77908897	1608,306519
73,11509705	10,7350235	1614,430054
73,01313019	10,70259094	1620,546875
72,91130066	10,6596241	1626,658447
72,80943298	10,60197735	1632,771606
72,70750427	10,53016663	1638,887817
72,60555267	10,48518562	1645,005371
72,50358582	10,4456892	1651,122314
72,40169525	10,42464828	1657,234131
72,29976654	10,4236412	1663,350342
72,19780731	10,42617512	1669,468506
72,09586334	10,4072504	1675,586914
71,99389648	10,39295864	1681,701538
71,89196777	10,37514877	1687,819336
71,78993988	10,3581953	1693,940674
71,68798065	10,30623531	1700,059448
71,58597565	10,25025749	1706,178467
71,48409271	10,22531509	1712,292603
71,38207245	10,22673893	1718,414063
71,28009796	10,2318306	1724,532104
71,17821503	10,22861671	1730,643555
71,07627869	10,22663593	1736,76001
70,97437286	10,23068428	1742,872925
70,87245178	10,2173624	1748,990479
70,77050018	10,1960516	1755,1073
70,66850281	10,18727684	1761,227051
70,56652832	10,18007374	1767,343994
70,46464539	10,16132164	1773,460327
70,36260223	10,13534641	1779,581543
70,2605896	10,11027241	1785,700928
