scan 720/11/202208:13:50						
temp(C)	power	time(seconds)				
5,136269569	395,4576721	7,134754658				
5,239152908	364,0636292	13,25094986				
5,340317249	293,6665344	19,36800575				
5,441179752	240,690918	25,4878273				
5,541956425	198,259079	31,60382462				
5,64274931	161,1170349	37,72674561				
5,743376732	128,3966675	43,83787537				
5,844153404	100,1644974	49,95807648				
5,944811344	76,4783783	56,06802368				
6,04570055	57,05807495	62,18959808				
6,146422863	41,58045959	68,30267334				
6,247325897	29,33890152	74,42326355				
6,348192692	19,84081459	80,54285431				
6,449060917	12,60603428	86,65749359				
6,550021172	7,129775524	92,77703094				
6,650906086	3,064669371	98,8864212				
6,751939297	0,071201317	105,0054245				
6,852898598	-2,073264599	111,1157913				
6,953920364	-3,577911615	117,2262878				
7,055020332	-4,595041752	123,3432693				
7,156128883	-5,233632565	129,4602051				
7,257250786	-5,671665668	135,5716858				
7,358481407	-5,871732712	141,6881714				
7,459770679	-5,929080963	147,8085632				
7,56103754	-5,878923416	153,9247437				
7,662358284	-5,789227486	160,0435791				
7,76368618	-5,629434109	166,162674				
7,86498642	-5,458566189	172,272049				
7,96642065	-5,254488945	178,3946686				
8,067853928	-5,018716812	184,5133362				
8,169251442	-4,771487713	190,6290588				
8,270767212	-4,558300972	196,7510376				
8,372200966	-4,399032116	202,8657227				
8,473592758	-4,221345901	208,9774017				
8,574953079	-4,025045872	215,0849152				
8,676328659	-3,85901475	221,1953125				
8,777806282	-3,724423885	227,3066864				
8,879264832	-3,600367308	233,4199219				
8,980826378	-3,442381382	239,5389099				
9,082393646	-3,309327364	245,6520538				
9,183978081	-3,205620766	251,770752				
9,285577774	-3,106529474	257,8908081				
9,387191772	-3,015395641	264,0038452				
9,488905907	-2,919620514	270,1235962				
9,590358734	-2,837775946	276,2316895				
9,691914558	-2,761543274	282,3423157				
9,793560028	-2,686342955	288,4570618				
9,895260811	-2,622497082	294,5776672				
9,996953964	-2,570453405	300,693512				
