scan 220/11/202208:36:03		
temp(C)	power	time(seconds)
99,88530731	-542,7538452	6,116136074
99,77615356	-556,0089722	12,2283783
99,67440033	-443,746521	18,33947945
99,57335663	-358,0100403	24,44905281
99,47237396	-291,5057068	30,56994057
99,37147522	-232,919342	36,68741608
99,27061462	-179,9838867	42,80651474
99,16970825	-133,4080658	48,92525101
99,06884003	-93,90423584	55,04595947
98,96800232	-61,49298096	61,1619339
98,86724854	-35,6211319	67,26848602
98,76656342	-15,50280476	73,37686157
98,66576385	-0,199121207	79,48651886
98,56473541	11,19408417	85,61281586
98,46386719	19,41074944	91,72250366
98,36309052	25,16579247	97,82927704
98,26228333	29,0761013	103,9330063
98,16126251	31,49674988	110,0492783
98,06028748	32,85643768	116,1617661
97,9590683	33,39474487	122,285881
97,85795593	33,34525299	128,401947
97,75683594	32,87413406	134,5178375
97,6556015	32,08126068	140,6368713
97,55442047	31,10193443	146,7535248
97,453125	29,99211693	152,8740997
97,35187531	28,79073715	158,9912872
97,25059509	27,60082817	165,1100159
97,1493988	26,39838791	171,2203522
97,04802704	25,13715553	177,3419342
96,94682312	23,92000008	183,4478912
96,8455658	22,7755394	189,5609131
96,74427795	21,72337341	195,6717377
96,64295197	20,74348068	201,7852631
96,54148865	19,83563232	207,9081268
96,44001007	19,05430031	214,0272827
96,33869171	18,42955017	220,1365509
96,23722076	17,9209404	226,2519073
96,13573456	17,32629967	232,3701324
96,03423309	16,66695786	238,4886322
95,93278503	15,97324181	244,6026459
95,83129883	15,22647572	250,7163544
95,72982025	14,50155449	256,8301086
95,62825775	13,78509903	262,9475098
95,52670288	13,16003323	269,0618896
95,42510986	12,61824894	275,183136
95,32358551	12,05509949	281,2969055
95,22201538	11,47959995	287,4090576
95,12033844	10,91936684	293,5324707
95,0189209	10,35727119	299,6352539
94,9172821	9,795383453	305,7524414
94,81573486	9,266160965	311,8647156
94,71400452	8,736766815	317,9859924
94,61244965	8,261551857	324,0953674
94,51082611	7,790337563	330,2103271
94,40908813	7,41704607	336,3285522
94,30749512	7,051700115	342,4407959
94,2059021	6,736877918	348,5519104
94,10422516	6,409127235	354,667511
94,00263214	6,130059242	360,7765503
93,90110016	5,841753483	366,8827515
93,79931641	5,528471947	373,0042725
93,69753265	5,216785908	379,124054
93,59598541	4,908233166	385,2277832
93,49419403	4,60181284	391,3478088
93,39237976	4,293501377	397,4690857
93,29057312	4,03063345	403,5870361
93,1889801	3,774733782	409,69104
93,08724213	3,513297796	415,8093567
92,98545837	3,305421829	421,9269104
92,88365173	3,137183905	428,0448914
92,78194427	2,982031822	434,1567383
92,68025208	2,824798822	440,2659302
92,57858276	2,696010351	446,3780518
92,47675323	2,556862354	452,4937744
92,37494659	2,38193202	458,6109619
92,27297974	2,193595648	464,7369995
92,17121887	2,042356968	470,8512878
92,06937408	1,88540566	476,967865
91,96760559	1,739978671	483,0820618
91,86582947	1,592171311	489,1974792
91,76400757	1,474003315	495,3125305
91,66226196	1,368958116	501,421814
91,56040955	1,253788352	507,5419617
91,45859528	1,114994407	513,656189
