scan 620/11/202214:27:31		
temp(C)	power	time(seconds)
99,86545563	-568,2507324	7,133005142
99,75891876	-530,968811	13,25221634
99,65724182	-419,3461304	19,37602234
99,55613708	-335,861084	25,49095535
99,4552002	-268,9923706	31,60737419
99,35436249	-209,5015259	37,72410965
99,25351715	-156,0076599	43,84198761
99,1526947	-109,3938599	49,95882416
99,05187225	-70,20249939	56,0749855
98,95095825	-38,24338913	62,194767
98,8500061	-12,95776558	68,31767273
98,74913788	6,594660759	74,43580627
98,64825439	21,35691643	80,54823303
98,54737854	32,21240616	86,66387177
98,44646454	39,97504425	92,77832031
98,34536743	45,32387543	98,90380859
98,24436188	48,81503296	105,0180969
98,14323425	50,89951324	111,1424179
98,04219055	52,00898361	117,256958
97,941185	52,28814697	123,3676987
97,84007263	52,04746628	129,4864349
97,73883057	51,32748795	135,6068268
97,6375885	50,32605743	141,7292328
97,53639221	49,17613983	147,8434296
97,43522644	47,89156723	153,9577789
97,333992	46,54568481	160,0741425
97,23271179	45,1517067	166,191925
97,13127136	43,74337387	172,3167725
97,02996063	42,34370422	178,433075
96,92863464	41,00529861	184,5499268
96,82720947	39,73919678	190,6716919
96,72579956	38,57051086	196,7901611
96,62439728	37,48986435	202,9069824
96,52297211	36,52959824	209,0231781
96,42146301	35,77369308	215,1453857
96,31996918	35,13011932	221,2681427
96,21838379	34,38185883	227,3905487
96,11701965	33,55997086	233,5011444
96,01555634	32,6829834	239,6161041
95,91399384	31,84505272	245,733017
95,81262207	30,987257	251,8419037
95,71115112	30,15115356	257,9542542
95,60971832	29,33673668	264,0651245
95,50808716	28,53872681	270,1853943
95,40647888	27,79759789	276,306488
95,30495453	27,0812912	282,420166
95,20339203	26,42385101	288,5316162
95,10185242	25,76380539	294,6453552
95,00015259	25,19023895	300,7676392
94,89844513	24,6334343	306,8896484
94,79682922	24,10798454	313,0029907
94,69520569	23,5580864	319,1186218
94,59357452	23,04465675	325,2342834
94,4919281	22,60297585	331,3488159
94,3902359	22,16046143	337,4684448
94,28858185	21,73119736	343,582489
94,18688202	21,3057003	349,6980286
94,08518219	20,91000557	355,8168945
93,98345184	20,51789093	361,9333496
93,88167572	20,15320778	368,0569763
93,77986145	19,83113098	374,1746826
93,6781311	19,48131943	380,2943726
93,57634735	19,1612606	386,4125366
93,47464752	18,84941483	392,5281067
93,37293243	18,56706429	398,6418152
93,2712326	18,28212547	404,7532959
93,16945648	18,00408936	410,8710022
93,06769562	17,71495247	416,9874878
92,96595001	17,47969627	423,1003113
92,86418152	17,26279259	429,2175903
92,76232147	17,02157021	435,3381042
92,66043091	16,78489113	441,4612732
92,55858612	16,58166695	447,581665
92,45675659	16,36756516	453,6990051
92,35484314	16,16966248	459,8247986
92,25286102	15,94701576	465,9510803
92,15081024	15,76473808	472,079895
92,0489502	15,59840488	478,2002869
91,94702148	15,44106102	484,3225098
91,84503937	15,29265499	490,4509277
91,74305725	15,1479044	496,5744324
91,64116669	14,99750042	502,6947021
91,53913116	14,79699612	508,822998
91,43716431	14,63244057	514,9484253
91,33512878	14,49219608	521,0754395
91,23332214	14,37557411	527,1879883
91,13130188	14,23407936	533,3204956
91,02938843	14,07483292	539,4371338
90,92745972	13,92324162	545,5593262
90,82546997	13,79646111	551,6825562
90,72342682	13,66034508	557,8112793
90,6213913	13,54771519	563,935791
90,5194931	13,44698238	570,0550537
90,41752625	13,35207367	576,1794434
90,31559753	13,24046612	582,2988281
90,21366119	13,14701462	588,4171753
90,11170959	13,04355145	594,5410156
90,0096817	12,92700577	600,6663208
89,90766907	12,80954456	606,7921753
89,80560303	12,71612263	612,9159546
89,70368195	12,65757179	619,0339355
89,60179901	12,5754118	625,1525269
89,4998703	12,47071075	631,2698364
89,39788818	12,36508179	637,3937378
89,29593658	12,29582405	643,5140991
89,19409943	12,19259167	649,6296997
89,09207916	12,07566357	655,7520142
88,99015808	11,9768877	661,8676147
88,88817596	11,906003	667,9898071
88,78618622	11,81064224	674,1122437
88,68417358	11,71794128	680,2329102
88,58224487	11,6609354	686,3538208
88,48035431	11,57951546	692,4688721
88,37835693	11,48016071	698,5925293
88,27648926	11,37957096	704,7060547
88,17446136	11,28746891	710,829895
88,07262421	11,1861124	716,9420776
87,97067261	11,08554935	723,062439
87,86886597	11,01740551	729,171814
87,76699066	10,96350956	735,2857056
87,66506195	10,8584156	741,4050903
87,5632019	10,75118446	747,5177612
87,46131134	10,66987801	753,6327515
87,35942078	10,61033154	759,7457886
87,25748444	10,51792622	765,8665161
87,15537262	10,46105862	771,9946289
87,05349731	10,40600014	778,1077881
86,95153046	10,35665035	784,225647
86,84963989	10,29820442	790,3417969
86,74769592	10,23025608	796,4586182
86,64572906	10,17892265	802,5791016
86,54381561	10,12272358	808,6940308
86,44187927	10,06801224	814,814209
86,33999634	10,00352383	820,9271851
86,23802948	9,930438995	827,0474854
86,13615417	9,855166435	833,1591187
86,03417206	9,759850502	839,2805786
85,93218994	9,694591522	845,3991089
85,83022308	9,650699615	851,5183105
85,72827148	9,59311676	857,6357422
