scan 720/11/202214:27:31		
temp(C)	power	time(seconds)
5,188416004	395,462738	10,19559479
5,289859295	325,0735779	16,31168365
5,390816689	263,8506165	22,42737579
5,49146843	217,8682861	28,53815651
5,59223175	178,7277374	34,65790558
5,692970276	143,9188995	40,77528381
5,793683052	113,4159698	46,89451599
5,894428253	87,4146347	53,00801468
5,995175362	65,8421936	59,12456894
6,095933914	48,34978485	65,24074554
6,19667387	34,47394562	71,35354614
6,297522068	23,62811279	77,47170258
6,398437023	15,28245544	83,59088135
6,499405861	8,91737175	89,71522522
6,600464344	4,194063187	95,83447266
6,701404095	0,686683297	101,9512634
6,80245924	-1,852935791	108,0650024
6,903530121	-3,646045685	114,1863937
7,004650593	-4,899973869	120,3028793
7,105755806	-5,703379154	126,419693
7,206932068	-6,208693027	132,5340881
7,308058739	-6,490807056	138,6468964
7,409368992	-6,571253777	144,7715149
7,510642052	-6,564014912	150,8856506
7,611900806	-6,451390266	157,0027466
7,713160992	-6,312586784	163,1163025
7,814565182	-6,103307247	169,2391357
7,915983677	-5,852577209	175,3608551
8,01733017	-5,623371601	181,4722443
8,118665695	-5,383965015	187,5860901
8,220127106	-5,139241695	193,7028961
8,321539879	-4,890385151	199,8217163
8,42302227	-4,704258919	205,9363556
8,52449894	-4,477408409	212,0536957
8,62600708	-4,262410641	218,1723328
8,727576256	-4,080972195	224,2926941
8,829076767	-3,929514885	230,4054871
8,93057251	-3,777495861	236,5192108
9,032201767	-3,641284704	242,6389465
9,133786201	-3,507582664	248,7579346
9,235447884	-3,385726213	254,8779755
9,337104797	-3,27998805	260,9977722
9,438609123	-3,176481962	267,1073303
9,54030323	-3,077517033	273,2282715
9,64183712	-2,984088421	279,3378601
9,743567467	-2,89954567	285,4581299
9,845192909	-2,827798128	291,5752563
9,94695282	-2,771198034	297,6950073
10,04878426	-2,728801727	303,8184509
10,15054321	-2,694106102	309,9404907
10,25218487	-2,667851448	316,0516052
10,35406399	-2,63808918	322,1778259
