scan 1905/12/202208:57:21		
temp(degC)	power	time(seconds)
5,117957592	377,0493164	6,121562958
5,222383022	374,2239685	12,24082947
5,323597908	301,9537964	18,36027145
5,424540043	247,3305359	24,48075485
5,525327206	204,5436554	30,60159111
5,626194	167,1159668	36,72641373
5,727005005	133,8053741	42,8500824
5,827755928	104,8124924	48,96608734
5,928520679	80,28461456	55,08790207
6,029444218	60,03426743	61,21392822
6,130243778	43,74455643	67,33236694
6,231201172	30,89083099	73,45500183
6,332122326	20,8786869	79,5777359
6,433000088	13,22018719	85,69287109
6,534011364	7,428954601	91,8156662
6,635100842	3,13228941	97,93933868
6,736210823	-0,040177688	104,0646286
6,837296486	-2,350818872	110,1814957
6,938417912	-3,954164743	116,3021469
7,039540291	-5,036633492	122,4193192
7,140712261	-5,780016422	128,5387573
7,241929054	-6,210934639	134,6582947
7,343215466	-6,423785686	140,7796631
7,444629192	-6,50143528	146,9049225
7,545992374	-6,457911968	153,028656
7,647278786	-6,346549988	159,1446075
7,748700142	-6,16756916	165,2677917
7,850091934	-5,963053703	171,3893433
7,951604366	-5,745278358	177,5143433
8,05312252	-5,504525661	183,6403351
8,154574394	-5,214927673	189,7575684
8,255972862	-4,977704048	195,8713684
8,357520103	-4,787866116	201,9949646
8,459086418	-4,602887154	208,1184845
8,5605793	-4,399890423	214,2338562
8,662092209	-4,231726646	220,353714
8,763789177	-4,077342987	226,4797211
8,86544323	-3,913270473	232,6028137
8,967072487	-3,747916937	238,7252197
9,068796158	-3,589490175	244,8476563
9,170474052	-3,459304094	250,9718018
9,272147179	-3,35150218	257,0934448
9,373940468	-3,2451756	263,2237244
9,475675583	-3,155783176	269,3453979
9,577488899	-3,059720278	275,4704285
9,679115295	-2,976107836	281,5872498
9,780799866	-2,89294982	287,7059937
9,88255024	-2,824643373	293,8272705
9,984262466	-2,770908117	299,946106
10,08595467	-2,726377487	306,0640564
10,18775558	-2,693058252	312,1859741
10,28942013	-2,665813208	318,2976074
10,39111042	-2,636529684	324,4124146
10,49284935	-2,584993839	330,532959
10,59463024	-2,519974947	336,6502686
10,6963768	-2,460870981	342,7688293
10,79823685	-2,394400597	348,8929749
10,90005589	-2,328009129	355,0095215
11,00174332	-2,261868238	361,1247864
11,10372353	-2,191798687	367,2518921
11,20542717	-2,13036418	373,3625183
11,30720425	-2,052914381	379,4792786
11,40902805	-1,97495842	385,5980835
11,51077557	-1,903798342	391,7121887
11,61270618	-1,841960192	397,8356934
11,7145462	-1,766787052	403,9550781
11,81629944	-1,710980058	410,0655518
11,91821003	-1,659653783	416,1897278
12,02003384	-1,597041368	422,3044434
12,12186909	-1,534127474	428,4250793
12,22371292	-1,480970144	434,5387878
12,32556915	-1,442380667	440,6575928
12,42752838	-1,391402841	446,7838135
12,52955532	-1,339252472	452,9107971
12,6313982	-1,291532993	459,0270996
12,73336124	-1,257634521	465,1486511
12,83527184	-1,214405417	471,2724304
12,93721771	-1,165974498	477,3905945
13,03922939	-1,135374069	483,5176697
13,14110565	-1,10112226	489,6361084
13,24302387	-1,064996481	495,7534485
13,34504795	-1,033342481	501,8797302
13,44699287	-1,00546062	508,000061
13,54893494	-0,98408711	514,1204224
13,65081596	-0,941272199	520,2390137
13,7527914	-0,908344567	526,3609009
13,85469246	-0,878546596	532,479126
13,95668888	-0,859697998	538,6027832
14,05868912	-0,83567363	544,7252808
14,16058636	-0,804449499	550,8427124
14,26259327	-0,781706989	556,9656372
14,36440659	-0,755307317	563,0767212
14,46641827	-0,731206834	569,2022705
14,56829453	-0,706906676	575,3191528
14,67020035	-0,697027564	581,4320068
14,77220154	-0,674376309	587,5532837
14,87413216	-0,652671516	593,6733398
14,97608089	-0,626334846	599,7924805
15,07808495	-0,610231698	605,9146118
15,18007374	-0,586119652	612,0361938
15,28201962	-0,567873061	618,1519775
15,38393784	-0,552930534	624,269104
15,48586655	-0,541622281	630,3878784
15,58783913	-0,529476166	636,5105591
15,68989468	-0,519952476	642,6331177
15,79195786	-0,51631391	648,7579346
15,89402676	-0,515108943	654,8817139
15,99604416	-0,500692844	661,0053711
16,09807396	-0,489158988	667,1282959
16,20005608	-0,489558339	673,2478027
16,30203438	-0,489114583	679,3661499
16,40404892	-0,487449825	685,4901733
16,506073	-0,48789537	691,6105347
16,60811043	-0,492696226	697,7328491
16,7101059	-0,496143013	703,8546753
16,81204033	-0,492817789	709,9710083
