scan 305/12/202208:57:21		
temp(degC)	power	time(seconds)
5,171261311	400,8735352	9,183584213
5,272966862	336,6582947	15,29923439
5,374079704	271,9924316	21,42448044
5,474936962	224,116272	27,54646492
5,575783253	184,2620087	33,66861343
5,676552773	148,9770966	39,78725052
5,777346611	117,9084854	45,91099167
5,87810421	91,27851868	52,02817917
5,978879929	69,03715515	58,14758682
6,079821587	50,92946625	64,27287292
6,180636406	36,49211502	70,39093781
6,281585217	25,1646347	76,51373291
6,382517338	16,44181824	82,63665009
6,483542919	9,757840157	88,75912476
6,584469795	4,768352032	94,87520599
6,685473919	1,06012845	100,9926071
6,78667593	-1,650136352	107,1207047
6,887869358	-3,593541622	113,2435226
6,989129543	-4,914663315	119,3731995
7,090304375	-5,819095612	125,4900513
7,191457748	-6,392456055	131,6072998
7,292667389	-6,723339558	137,7258759
7,393876076	-6,836949348	143,8404083
7,495244503	-6,826818943	149,9645233
7,596547604	-6,741834641	156,0818787
7,697946072	-6,616625309	162,2032166
7,799286366	-6,432120323	168,3243866
7,900651932	-6,209802151	174,4390259
8,002075195	-6,008955002	180,5599518
8,103533745	-5,79563427	186,6787262
8,204938889	-5,530313492	192,7976227
8,306440353	-5,28729248	198,9153595
8,407984734	-5,100700855	205,0371399
8,509475708	-4,899738312	211,1568909
8,611083031	-4,721015453	217,2793274
8,712716103	-4,572720051	223,4030609
8,814444542	-4,411683559	229,5290833
8,915982246	-4,245907307	235,6491699
9,017654419	-4,104528427	241,7709503
9,119319916	-3,982747316	247,8911438
9,22088623	-3,881239414	254,0045929
9,32242012	-3,770387888	260,1211243
9,424158096	-3,673033237	266,2427673
9,525844574	-3,578913689	272,3651428
9,627633095	-3,499269724	278,4892578
9,729393005	-3,410818338	284,6121521
9,831038475	-3,34111762	290,7272034
9,932762146	-3,28175211	296,8474731
10,03442955	-3,231955767	302,9624634
10,13613987	-3,191082001	309,0798035
10,23796082	-3,16016078	315,2011719
10,33977318	-3,136894941	321,3256531
10,44151592	-3,107512951	327,444519
10,54326057	-3,067425966	333,56073
10,64500332	-3,022279978	339,6766663
10,74675846	-2,971489429	345,7965393
10,84869099	-2,913969994	351,9226685
10,95048046	-2,856934786	358,0406494
11,05227566	-2,797528744	364,1601257
11,15406322	-2,730686903	370,2738037
11,25591278	-2,667859316	376,3979492
11,35771942	-2,598080873	382,5104065
11,45943546	-2,53417635	388,6257324
11,56125641	-2,476019382	394,7435913
11,66307068	-2,410663128	400,8623962
11,76490307	-2,343185902	406,9787598
11,86672592	-2,291781187	413,0974731
11,96855068	-2,243438721	419,215332
12,0705061	-2,179461718	425,3366089
12,17235374	-2,12602973	431,4552917
12,27426815	-2,076088905	437,578186
