1ptspool-77um-stp2l8-25deg-250rpm24/11/202208:29:18	
Time (seconds)	Raw Heat Rate (uJ / s)
1	-94,14582772
2	-94,15095475
3	-94,15583009
4	-94,16048871
5	-94,16489394
6	-94,16903886
7	-94,17295395
8	-94,17667431
9	-94,18020421
10	-94,18357295
11	-94,1868688
12	-94,19019662
13	-94,19353774
14	-94,19684848
15	-94,20004959
16	-94,20302009
17	-94,20571935
18	-94,20819973
19	-94,21053558
20	-94,21277451
21	-94,21494766
22	-94,21714296
23	-94,21941196
24	-94,22181525
25	-94,22443363
26	-94,22733546
27	-94,230546
28	-94,23398956
29	-94,23755057
30	-94,24114821
31	-94,24463178
32	-94,24790557
33	-94,25099252
34	-94,25390072
35	-94,25679693
36	-94,2598588
37	-94,26321015
38	-94,26688024
39	-94,27086405
40	-94,27515399
41	-94,27969353
42	-94,28441219
43	-94,28945066
44	-94,29494216
45	-94,3009698
46	-94,30776057
47	-94,31535972
48	-94,32371839
49	-94,332854
50	-94,3426326
51	-94,35295237
52	-94,36363273
53	-94,37454467
54	-94,38562811
55	-94,39676853
56	-94,40791865
57	-94,41911895
58	-94,43030277
59	-94,4414108
60	-94,45228939
61	-94,46278291
62	-94,47292252
63	-94,48263774
64	-94,49180681
65	-94,50040316
66	-94,50840103
67	-94,51593465
68	-94,52307083
69	-94,52970106
70	-94,5358662
71	-94,54168749
72	-94,54717023
73	-94,55229207
74	-94,55708395
75	-94,56170314
76	-94,56622482
77	-94,57058894
78	-94,57483909
79	-94,57904001
80	-94,58324368
81	-94,58748008
82	-94,59162913
83	-94,59558463
84	-94,5993861
85	-94,60302765
86	-94,60642282
87	-94,60960212
88	-94,61265154
89	-94,61566478
90	-94,61872014
91	-94,62182155
92	-94,62499095
93	-94,62823749
94	-94,63157604
95	-94,63516316
96	-94,63904946
97	-94,64328019
98	-94,64791723
99	-94,65295457
100	-94,6584232
101	-94,66439915
102	-94,67080352
103	-94,67755415
104	-94,68459107
105	-94,69182551
106	-94,69920549
107	-94,70676021
108	-94,71458801
109	-94,7227378
110	-94,73113433
111	-94,73973453
112	-94,74837845
113	-94,75700032
114	-94,7656177
115	-94,7743883
116	-94,78329514
117	-94,79236062
118	-94,80157882
119	-94,81082539
120	-94,82026507
121	-94,82978858
122	-94,83928803
123	-94,84860016
