l4at56um-in-pool1pts-25deg-250rpm20/11/202208:07:50;;
Time (seconds);Raw Heat Rate (uJ / s);Raw Heat Rate (ucal / s)
1;-91,80877928;-21,94282487
2;-91,81014581;-21,94315148
3;-91,81115281;-21,94339216
4;-91,81186592;-21,9435626
5;-91,81230633;-21,94366786
6;-91,81248987;-21,94371173
7;-91,81247291;-21,94370768
8;-91,81223565;-21,94365097
9;-91,81173429;-21,94353114
10;-91,81102811;-21,94336236
11;-91,8100969;-21,94313979
12;-91,80900196;-21,9428781
13;-91,80781772;-21,94259506
14;-91,80658603;-21,94230068
15;-91,80530439;-21,94199436
16;-91,80390713;-21,9416604
17;-91,80241795;-21,94130448
18;-91,8008188;-21,94092228
19;-91,79907377;-21,9405052
20;-91,79721422;-21,94006076
21;-91,79517949;-21,93957445
22;-91,79302646;-21,93905986
23;-91,79093227;-21,93855934
24;-91,78902986;-21,93810465
25;-91,78726902;-21,9376838
26;-91,78566153;-21,9372996
27;-91,78414683;-21,93693758
28;-91,7826561;-21,93658129
29;-91,78121206;-21,93623615
30;-91,77979084;-21,93589647
31;-91,77837965;-21,93555919
32;-91,77695517;-21,93521873
33;-91,77557877;-21,93488976
34;-91,77438333;-21,93460405
35;-91,77334292;-21,93435538
36;-91,77254363;-21,93416435
37;-91,77192876;-21,93401739
38;-91,77141171;-21,93389381
39;-91,77096885;-21,93378797
40;-91,77055906;-21,93369002
41;-91,77015374;-21,93359315
42;-91,76966303;-21,93347587
43;-91,76905756;-21,93333116
44;-91,76824612;-21,93313722
45;-91,76730592;-21,9329125
46;-91,76638319;-21,93269197
47;-91,76558687;-21,93250164
48;-91,76495528;-21,93235069
49;-91,76435549;-21,93220734
50;-91,76377274;-21,93206806
51;-91,76317449;-21,93192507
52;-91,76259898;-21,93178752
53;-91,76214268;-21,93167846
54;-91,7617915;-21,93159453
55;-91,76166158;-21,93156348
56;-91,7617658;-21,93158839
57;-91,7620273;-21,93165088
58;-91,76244104;-21,93174977
59;-91,76309837;-21,93190688
60;-91,76397868;-21,93211728
61;-91,76494065;-21,93234719
62;-91,76587701;-21,93257099
63;-91,76671456;-21,93277117
64;-91,76750953;-21,93296117
65;-91,76828371;-21,9331462
66;-91,76903281;-21,93332524
67;-91,76974478;-21,93349541
68;-91,7702725;-21,93362154
69;-91,77061283;-21,93370288
70;-91,77061956;-21,93370448
71;-91,77036757;-21,93364426
72;-91,770082;-21,933576
73;-91,76997474;-21,93355037
74;-91,77010172;-21,93358072
75;-91,77038073;-21,9336474
76;-91,77079551;-21,93374654
77;-91,77116339;-21,93383446
78;-91,77144333;-21,93390137
79;-91,7716382;-21,93394794
80;-91,77172395;-21,93396844
81;-91,77167551;-21,93395686
