scan 420/11/202208:13:50		
temp(C)	power	time(seconds)
99,88506317	-537,5735474	6,116101742
99,77571869	-550,3530884	12,23656654
99,67394257	-435,6283569	18,35192871
99,57281494	-345,8919067	24,4656086
99,47193909	-275,3505554	30,57936287
99,3711853	-213,2247314	36,68863678
99,27033234	-157,3615112	42,80646133
99,16947174	-108,506691	48,92528152
99,06850433	-67,22600555	55,04919815
98,96763611	-33,6322937	61,16906357
98,86672211	-6,917084694	67,28504944
98,76586151	13,73955345	73,40227509
98,66483307	29,3566761	79,52462769
98,56388092	40,77529907	85,64676666
98,46297455	48,97960663	91,76000977
98,36198425	54,64436722	97,87787628
98,26095581	58,3680191	103,9948578
98,15994263	60,60634613	110,1110382
98,05887604	61,71059418	116,2294769
97,95789337	62,02230072	122,3391418
97,85684967	61,70502472	128,4507751
97,7556839	60,93980789	134,569809
97,65460968	59,8913002	140,6807098
97,55353546	58,69271469	146,7900848
97,45231628	57,32998276	152,906601
97,35118866	55,91848373	159,0156708
97,24992371	54,42201614	165,1338348
97,14845276	52,96222305	171,2610931
97,04725647	51,4918251	177,3694
96,94597626	50,08056641	183,48349
96,84456635	48,76241302	189,6035614
96,74318695	47,51800156	195,7213745
96,64183044	46,38866425	201,8357086
96,54045105	45,40670013	207,9538422
96,43910217	44,62485123	214,0639343
96,33764648	43,94997025	220,1807251
96,23635864	43,14961243	226,2839203
96,13504791	42,27038956	232,3934937
96,03359985	41,33018112	238,5075531
95,93211365	40,40125275	244,6233063
95,83063507	39,45463562	250,7359314
95,72911835	38,56712341	256,855835
95,62757874	37,70833588	262,968811
95,52600861	36,8932457	269,0845642
95,42444611	36,09315872	275,2020569
95,32299805	35,31736374	281,3103943
95,22145844	34,60321045	287,4234619
95,11999512	33,9338913	293,533783
95,01834106	33,29486465	299,6531372
94,91683197	32,68464661	305,7600403
94,81507874	32,10564041	311,8827515
94,71353149	31,56521034	317,9956665
94,61187744	31,02701187	324,1131897
94,5102005	30,49579811	330,2311096
94,4084549	30,0175705	336,349762
94,30684662	29,58281898	342,4623108
94,20519257	29,13890266	348,5773315
94,10349274	28,69826508	354,6923218
94,00182343	28,31616974	360,8077393
93,900177	27,91961098	366,9206848
93,79840851	27,56409836	373,0385437
93,69680786	27,22191429	379,1479492
93,59500885	26,87248611	385,2676392
93,4932785	26,58234596	391,3834229
93,39149475	26,26591682	397,50354
93,28972626	25,98125076	403,6202698
93,18797302	25,69793129	409,7354126
93,08627319	25,40043068	415,8485413
92,98449707	25,12901115	421,9638062
92,88274384	24,89218712	428,0803833
92,78101349	24,66044617	434,1931152
92,679245	24,43883133	440,3078003
92,57749176	24,19920158	446,4241638
92,47574615	24,00219536	452,5357361
92,37397766	23,77206802	458,6521606
92,27228546	23,5444603	464,7582092
92,17047119	23,34815788	470,8773804
92,06859589	23,16038895	476,9959412
91,96679688	22,97563553	483,1098633
91,8649826	22,78673935	489,2269897
91,76320648	22,63320541	495,3410339
91,66139984	22,49057007	501,4560852
91,5597229	22,33282852	507,5644531
91,45789337	22,16130829	513,6802368
91,35610962	22,00377083	519,7932129
91,25427246	21,85198784	525,9100952
91,1523819	21,71456909	532,0287476
91,05043793	21,58315659	538,149231
90,94863129	21,46979332	544,2630005
90,84689331	21,3318367	550,3700562
90,74504089	21,20559502	556,4876099
90,64325714	21,09344101	562,6032104
90,54152679	20,95936394	568,710083
90,43964386	20,85178566	574,8258667
90,33784485	20,77949333	580,9384766
90,2361145	20,68287277	587,0444336
90,13418579	20,57069397	593,1674805
90,03244019	20,46714592	599,2739258
89,93066406	20,34704971	605,3859253
89,82878113	20,24749947	611,5024414
89,72682953	20,13422012	617,6246338
89,62503052	20,00555992	623,7328491
89,52320099	19,9043541	629,847229
89,4213028	19,80936623	635,9637451
89,31938934	19,73687553	642,0825806
89,21750641	19,62695885	648,1981812
89,11557007	19,51923943	654,3157959
89,01371002	19,4226799	660,4307861
88,9118576	19,33955956	666,5430298
88,80997467	19,24608612	672,6609497
88,70795441	19,16810036	678,7843018
88,60617065	19,09293556	684,8937988
88,50429535	19,01349831	691,0081787
88,40260315	18,95523262	697,1127319
88,30070496	18,89457893	703,2302246
88,1987381	18,83875084	709,3469238
88,09681702	18,76105309	715,4676514
87,9948349	18,67095184	721,5862427
87,89286804	18,59718132	727,7067871
87,79094696	18,53726959	733,8227539
87,68919373	18,4706459	739,9296875
87,58732605	18,40894127	746,0441895
87,48536682	18,35234261	752,1619873
87,38356018	18,37986565	758,2717285
87,28166199	18,39761734	764,3899536
87,17960358	18,35067368	770,5149536
87,07772827	18,25056648	776,6279907
86,9758606	18,16499519	782,742981
86,87400818	18,11029434	788,8552246
86,77210999	18,03217125	794,9691772
86,67025757	17,92338371	801,0822144
86,56829071	17,83838463	807,2001343
86,46641541	17,74442863	813,3116455
86,36455536	17,65319061	819,4284058
86,26264191	17,59427452	825,5435791
86,1607666	17,55722427	831,6574097
86,05876923	17,53167152	837,7801514
85,95692444	17,48412514	843,8919067
85,85490417	17,4462719	850,0110474
85,75296783	17,37875938	856,1292725
