scan 520/11/202208:13:50		
temp(C)	power	time(seconds)
5,136321068	395,5158081	7,13836813
5,239131927	363,8456726	13,24876881
5,340232372	293,4086304	19,36380196
5,441075325	240,3732147	25,48285866
5,541876793	197,8886566	31,59973717
5,642596722	160,7696991	37,71731949
5,743236542	128,0333252	43,83158493
5,844021797	99,78083801	49,95068359
5,944792747	76,07234955	56,06815338
6,04561615	56,65991592	62,18736649
6,146358967	41,14801407	68,3048172
6,247201443	28,93959236	74,41916656
6,348051548	19,45442581	80,53573608
6,448872566	12,20591736	86,64855194
6,549873352	6,723650932	92,76885986
6,650833607	2,664027452	98,88761902
6,751923084	-0,3068479	105,0067368
6,852896214	-2,477494717	111,1195602
6,954102516	-3,983784914	117,2433395
7,055142879	-5,004422665	123,3561859
7,156324863	-5,663368225	129,4752045
7,257472038	-6,057241917	135,5862274
7,358564377	-6,246537209	141,695816
7,459806919	-6,327508926	147,810791
7,560963631	-6,276661396	153,9270325
7,662279606	-6,177438259	160,0413818
7,763610363	-6,045744419	166,1611786
7,865036488	-5,82981348	172,2815857
7,966444016	-5,61296463	178,4013672
8,06777668	-5,410796165	184,5133514
8,16911602	-5,193234444	190,6249695
8,270576477	-4,960134506	196,74646
8,372085571	-4,765033245	202,8656158
8,473622322	-4,584943771	208,985199
8,575220108	-4,395246029	215,1092834
8,67667675	-4,237696648	221,2224579
8,778193474	-4,097169399	227,3376465
8,879728317	-3,966414928	233,4555054
8,981292725	-3,831432104	239,5720673
9,08288002	-3,69509244	245,6884766
9,184390068	-3,58119607	251,8000336
9,285917282	-3,494107962	257,9152527
9,387367249	-3,387890339	264,022644
9,489031792	-3,305408955	270,1375122
9,590549469	-3,226089001	276,2478638
9,692240715	-3,142451286	282,3687134
9,793902397	-3,068485737	288,4837341
9,895604134	-3,007154465	294,6053162
9,997247696	-2,953994989	300,7183838
10,09897232	-2,911565542	306,8363342
10,20074844	-2,880062819	312,9598999
10,30236721	-2,85086894	319,0672913
10,4042263	-2,828132391	325,1928406
10,50594616	-2,801962376	331,307312
10,60772324	-2,768681049	337,428772
10,70946312	-2,733509779	343,5440369
10,81125736	-2,700274706	349,6641235
10,9130125	-2,660298347	355,7805786
11,01471424	-2,613142014	361,8900757
11,11656666	-2,567139626	368,01297
11,21836758	-2,516961813	374,130127
11,32004356	-2,452180624	380,2416992
11,42176723	-2,400725126	386,3559265
11,5235424	-2,350090981	392,4682312
11,62540531	-2,301224947	398,5924988
11,72723198	-2,247895718	404,7061768
11,82917023	-2,207475662	410,8316956
11,93104935	-2,169265032	416,949585
12,03281879	-2,122130156	423,0636597
12,1345911	-2,07241416	429,1779785
12,23633671	-2,026385546	435,2890015
12,33821583	-1,986385703	441,4089966
12,43997097	-1,954268217	447,5214844
12,54183769	-1,924630523	453,6352539
12,64367867	-1,897844434	459,7536011
12,74555016	-1,870732069	465,8718567
12,84731865	-1,823515177	471,9807739
12,94904232	-1,781057239	478,0910645
13,05096722	-1,745188832	484,2089844
13,15272427	-1,721090436	490,3222656
13,25454426	-1,691846967	496,4360657
13,3563652	-1,671033263	502,5477905
13,45817947	-1,657143593	508,6610718
13,55997944	-1,632585883	514,7730713
13,66187096	-1,598931313	520,8920288
13,76373291	-1,576345682	527,0042725
13,86561489	-1,559348106	533,1213989
13,96750546	-1,539145827	539,2401733
14,06938076	-1,51957345	545,3577271
14,1713047	-1,501767278	551,4741211
14,27325821	-1,48506701	557,5950317
14,37513447	-1,469465852	563,711792
14,47694111	-1,447475433	569,8217773
14,57876396	-1,437064648	575,9320679
14,68065453	-1,430995464	582,0491333
14,78266907	-1,406757832	588,1705933
14,88437748	-1,383911729	594,27771
14,9862442	-1,369627595	600,3892212
15,08804321	-1,357801914	606,5002441
15,18995476	-1,339759827	612,6186523
15,29175568	-1,325911164	618,7271118
15,3936882	-1,310827851	624,8464966
15,4956131	-1,301012993	630,9636841
15,59763336	-1,289793491	637,0861206
15,69954967	-1,27696836	643,2059937
15,80156708	-1,269079685	649,3262939
15,9034586	-1,260529041	655,4433594
16,00536728	-1,24717176	661,5563354
16,10722733	-1,234054804	667,6688843
16,20905113	-1,224361658	673,7796631
16,31084633	-1,213046551	679,8876953
16,41259575	-1,199320555	685,994873
16,51448441	-1,189931512	692,1092529
16,61637497	-1,183150172	698,2268677
16,71831322	-1,168118119	704,3417969
16,82007027	-1,153759122	710,4501343
16,92201424	-1,141682744	716,5692749
17,02392197	-1,134256721	722,6832886
17,12578964	-1,132141113	728,7969971
17,22763252	-1,127216339	734,9067383
17,32955551	-1,124035478	741,0238037
17,43152618	-1,116584182	747,1436768
17,53334045	-1,102240801	753,2516479
17,63522339	-1,092887521	759,3638916
17,73713875	-1,083657265	765,4804077
17,83905792	-1,076411247	771,5978394
17,94098663	-1,067390323	777,7127686
18,04275703	-1,07043457	783,8192749
18,14466286	-1,068037152	789,9315796
18,24661255	-1,068290114	796,0499268
18,34855461	-1,066192508	802,1673584
18,45061874	-1,065435171	808,291748
18,55254745	-1,064823031	814,4039917
18,65464211	-1,066329718	820,5319214
18,75657654	-1,067503691	826,6494141
18,85851479	-1,068756223	832,7661743
18,96055984	-1,069938183	838,8884277
19,06249428	-1,071305871	845,0064087
19,16441345	-1,072104812	851,1192627
19,26634979	-1,073999405	857,2367554
19,36824036	-1,076681018	863,3478394
19,4700985	-1,079334378	869,4596558
19,57206726	-1,081372619	875,5772095
19,6739521	-1,084478617	881,6911621
19,77583313	-1,088880658	887,8037109
19,87774849	-1,096491694	893,9196167
19,9796524	-1,100037694	900,0349731
20,08151245	-1,10793972	906,1470947
20,18351555	-1,111842513	912,2670288
20,28541565	-1,118350148	918,3800049
20,38734245	-1,127227306	924,4960938
20,48935127	-1,134517312	930,6171265
20,59127808	-1,146074533	936,7337036
20,69320107	-1,152407646	942,8464355
20,79526901	-1,157259107	948,9726563
20,8971405	-1,162649393	955,0822754
20,99897003	-1,172169209	961,1947632
21,10083008	-1,179511309	967,3052368
21,2026844	-1,188993812	973,4194336
21,30463028	-1,200434089	979,5334473
21,40644455	-1,208110929	985,6451416
21,5083828	-1,213479996	991,7588501
21,61030388	-1,217626929	997,875061
21,71229172	-1,223079205	1003,992798
21,81422043	-1,228464007	1010,111694
21,91613007	-1,233576298	1016,227966
22,01810646	-1,239848137	1022,344727
22,12002373	-1,242640615	1028,461304
22,2218895	-1,244334817	1034,574219
22,32376862	-1,247342348	1040,685913
22,42576218	-1,253220916	1046,807617
22,52763557	-1,259870887	1052,919189
22,62946701	-1,271140575	1059,028809
22,73140717	-1,282804012	1065,144531
22,83336258	-1,288761616	1071,26062
22,93533134	-1,288986802	1077,37915
23,03732681	-1,288646579	1083,499512
23,13912964	-1,289305687	1089,60791
23,24118233	-1,293324947	1095,730347
23,34310341	-1,297154307	1101,848145
23,44503021	-1,301509857	1107,963257
23,54686737	-1,305413485	1114,072876
23,64887619	-1,310575962	1120,194336
23,75078773	-1,312598348	1126,309448
23,85277939	-1,312343001	1132,427368
23,95466995	-1,311550975	1138,541382
24,05659866	-1,311087489	1144,657715
24,15851593	-1,30897367	1150,774902
24,26039696	-1,308088064	1156,886353
24,36232185	-1,308118105	1163,001343
24,46425247	-1,307022333	1169,115967
24,56612587	-1,305835247	1175,229004
24,66801071	-1,303838253	1181,344116
24,76988411	-1,302670002	1187,456665
24,87187958	-1,302293897	1193,575073
24,9738369	-1,301298976	1199,693848
25,07587242	-1,299071431	1205,818726
25,17785835	-1,297700047	1211,932373
25,27979279	-1,296683908	1218,049561
25,38165092	-1,292242765	1224,163574
25,48359108	-1,290264845	1230,277954
25,58559227	-1,289666653	1236,400146
25,68754005	-1,286713481	1242,514526
25,78949165	-1,283391237	1248,632446
25,89151001	-1,280770421	1254,755127
25,99341393	-1,278155804	1260,86792
26,09539223	-1,272289872	1266,987793
26,19732475	-1,262211919	1273,104492
26,2994175	-1,255195379	1279,229248
26,40137291	-1,254777789	1285,348389
26,50345993	-1,252550602	1291,47168
26,60534668	-1,251861691	1297,585938
26,7073307	-1,250244021	1303,703857
26,80924606	-1,250084877	1309,82019
26,91120911	-1,240006447	1315,937012
27,0131855	-1,233412027	1322,055786
27,11510849	-1,22460711	1328,170044
27,21704674	-1,215064764	1334,286499
27,31904984	-1,208964109	1340,406982
27,42107391	-1,204854727	1346,528076
27,52288055	-1,20141542	1352,635986
27,62476921	-1,195525408	1358,750977
27,72668648	-1,187609553	1364,863892
27,82869148	-1,181707144	1370,986816
27,93063927	-1,178139687	1377,102295
28,03256607	-1,172940612	1383,218872
