scan 1120/11/202208:13:50		
temp(°=C)	power	time(seconds)
5,136051178	394,8512573	7,133423328
5,23896265	363,3721008	13,24974251
5,339986324	293,2640686	19,36005211
5,440786362	240,531601	25,4772377
5,541540623	198,2467041	31,59468842
5,642194271	161,2036591	37,70497513
5,74278307	128,536972	43,81600189
5,843571663	100,2918243	49,93501663
5,944194794	76,62042999	56,0471077
6,044959545	57,23257828	62,16218185
6,145736217	41,65507126	68,27661896
6,24654007	29,44968987	74,39408875
6,347433567	19,94823647	80,51202393
6,448232651	12,67566204	86,62498474
6,549164772	7,182827473	92,7434845
6,650114536	3,111747503	98,85818481
6,751167774	0,106532201	104,9768982
6,852280617	-2,04913187	111,0984344
6,953304768	-3,570641756	117,2112732
7,054320335	-4,603039265	123,3219376
7,155392647	-5,292092323	129,4363251
7,256669521	-5,723572254	135,5573273
7,357965469	-5,903627872	141,6776581
7,459218979	-5,944083214	147,7963867
7,560445309	-5,922734261	153,91008
7,661741257	-5,842305183	160,0260162
7,763025284	-5,693035126	166,1425934
7,864391804	-5,508931637	172,2583313
7,965664387	-5,312567234	178,367981
8,067079544	-5,085999966	184,49086
8,168455124	-4,871548653	190,6038513
8,269841194	-4,651687145	196,7183075
8,371367455	-4,463382721	202,8385773
8,472806931	-4,304134846	208,9515533
8,574238777	-4,119038582	215,0643921
8,675723076	-3,965327501	221,1819916
8,777340889	-3,804025173	227,3034058
8,878739357	-3,683877468	233,4103699
8,980283737	-3,553052664	239,530304
9,081910133	-3,431568146	245,6481628
9,18356514	-3,322719574	251,7683105
9,285128593	-3,227896929	257,8836365
9,386836052	-3,11858964	264,0061646
9,488336563	-3,03972578	270,1151733
9,589884758	-2,962660551	276,2261047
9,69155407	-2,886857986	282,3440247
9,793241501	-2,819711208	288,4620361
9,894995689	-2,758288622	294,5865479
9,996691704	-2,704034567	300,7018127
10,09840584	-2,661610365	306,8184204
10,20008659	-2,626154423	312,9346313
10,30174446	-2,59452033	319,0462646
10,40351105	-2,570907593	325,1691589
10,50528049	-2,550023794	331,2872314
10,60699463	-2,524444103	337,4024963
10,70880985	-2,496433735	343,5224609
10,81055355	-2,466177464	349,641449
10,91222286	-2,432467937	355,75177
11,0141201	-2,389520645	361,8744202
11,11577415	-2,355974436	367,9828491
11,21750164	-2,300812721	374,0968628
11,31925488	-2,231753588	380,2112427
11,42107487	-2,172430038	386,3334351
11,5227766	-2,129067898	392,4412231
11,62462234	-2,088041067	398,5609741
11,72635746	-2,038667917	404,6714783
11,82819939	-1,991047263	410,7928467
11,93005466	-1,952484965	416,9050903
12,03163719	-1,909963369	423,012207
12,13346958	-1,861816287	429,1305542
12,2353878	-1,826647997	435,2506409
12,33722496	-1,797797084	441,3673401
