scan 1020/11/202208:56:57		
temp(C)	power	time(seconds)
99,86538696	-568,8509521	7,130675316
99,7590332	-532,7513428	13,23818874
99,65744781	-423,1162109	19,35312653
99,556427	-342,2314758	25,46572113
99,45557404	-278,083252	31,57651329
99,35473633	-220,9704742	37,68809128
99,25400543	-169,5137939	43,80180359
99,15325165	-124,4493332	49,91213608
99,05257416	-86,41873169	56,01895523
98,95185089	-55,34584045	62,12858963
98,85102081	-30,5950489	68,2410202
98,7504425	-11,46085072	74,33738708
98,64958954	3,090454817	80,45339203
98,54868317	13,8713789	86,56855011
98,44789886	21,59477997	92,67694855
98,34705353	26,99601936	98,78388977
98,24608612	30,58141327	104,8969269
98,14503479	32,79909134	111,0170593
98,04401398	33,96535492	117,1300735
97,94298553	34,37288666	123,2411804
97,8418808	34,23935699	129,3575897
97,74082184	33,71689987	135,4672699
97,63978577	32,95943451	141,5747375
97,53852844	32,00098419	147,6962738
97,43742371	30,86696053	153,8035126
97,33617401	29,62572098	159,9209595
97,2350235	28,34910202	166,0326691
97,13375092	27,01397896	172,1456451
97,03253937	25,75629234	178,2567902
96,93125153	24,50574493	184,3718872
96,82993317	23,3572979	190,485199
96,7286377	22,27423286	196,5980225
96,62722015	21,28013611	202,7126007
96,52583313	20,38988686	208,8297577
96,42443085	19,62555504	214,9437714
96,32301331	19,03762627	221,0588684
96,22168732	18,45570946	227,1684113
96,12028503	17,78561974	233,2788086
96,01882935	17,06479836	239,3948364
95,91732788	16,28901672	245,5121002
95,81584167	15,49472904	251,6243439
95,7143631	14,71795368	257,7384644
95,61281586	13,99763966	263,8562622
95,51130676	13,32430649	269,9686584
95,40975952	12,63441753	276,081604
95,30817413	11,99059391	282,2024536
95,20652771	11,37345219	288,3182068
95,10493469	10,77898026	294,4345703
95,00348663	10,20211601	300,5412598
94,90195465	9,682327271	306,6532288
94,80030823	9,187413216	312,7705383
94,69867706	8,670174599	318,8844604
94,59697723	8,226269722	325,0052795
94,4954834	7,806227207	331,1109924
94,39382935	7,390041351	337,2273254
94,29224396	6,995852947	343,3384094
94,19060516	6,5984025	349,4499817
94,08889008	6,232464314	355,5666809
93,98719025	5,862531662	361,6818542
93,88547516	5,497871399	367,7997437
93,78371429	5,134054184	373,9184265
93,68201447	4,813952446	380,0315857
93,58030701	4,547772884	386,1456604
93,47857666	4,296692371	392,2622375
93,37688446	4,030265808	398,378418
93,2751236	3,753448725	404,493042
93,17337799	3,477502823	410,6084595
93,07161713	3,229115963	416,7246704
92,9697876	2,984042645	422,8427124
92,86804199	2,752206326	428,9606628
92,76631927	2,561625719	435,0722046
92,6645813	2,362512112	441,1863098
92,56285095	2,151334524	447,2983398
92,46108246	1,944159031	453,4100342
92,35935974	1,751344204	459,5240173
92,25753784	1,5473032	465,6398621
92,15575409	1,345922232	471,7592468
92,05394745	1,195078373	477,8737793
91,95219421	1,029387593	483,9834595
91,85053253	0,87447679	490,0902405
91,74862671	0,69397074	496,215271
91,64678955	0,549723446	502,3297119
91,54490662	0,379050612	508,4483643
91,44327545	0,235290065	514,5523071
91,34143829	0,081249654	520,6673584
91,23956299	-0,040459827	526,7855835
91,13778687	-0,175196812	532,8977661
91,03593445	-0,298934639	539,0122681
90,93422699	-0,413171858	545,121521
90,83247375	-0,522316635	551,2335205
90,73056793	-0,640595257	557,352478
90,6287384	-0,764754057	563,4655151
90,52703857	-0,881455004	569,5730591
90,42514801	-0,976116359	575,6902466
90,32332611	-1,08401382	581,8079224
90,22148895	-1,198357701	587,9187622
90,11956787	-1,297464848	594,0385132
90,01768494	-1,416851163	600,1546021
89,91582489	-1,54987669	606,2683105
89,8138504	-1,668859601	612,3904419
89,71202087	-1,759282947	618,5041504
89,61025238	-1,839602351	624,614563
89,50831604	-1,936591148	630,7352905
89,40654755	-2,022900343	636,843689
89,30474854	-2,11045289	642,9541016
89,20291901	-2,202197075	649,0686646
89,1009903	-2,295040846	655,184082
88,99909973	-2,377634764	661,3043823
88,89715576	-2,465078115	667,4207153
88,79531097	-2,557319164	673,5357056
88,69338226	-2,630840778	679,6518555
88,59148407	-2,683370113	685,769043
88,48959351	-2,760826349	691,8864136
88,38768005	-2,846949577	698,003479
88,28574371	-2,926605463	704,1209717
88,18380737	-2,995040178	710,2388306
88,08188629	-3,069682598	716,3596191
87,98005676	-3,137952328	722,4700928
87,87804413	-3,203692436	728,5921021
87,77616119	-3,28380847	734,706604
87,6743927	-3,355762959	740,8134155
87,57250977	-3,440598965	746,9284668
87,47045898	-3,52872467	753,0541992
87,3686676	-3,59810853	759,163208
87,26676178	-3,668112755	765,2797241
87,16479492	-3,714649916	771,3997803
87,06288147	-3,781416416	777,5127563
86,96108246	-3,849400997	783,6223755
86,85923004	-3,951429367	789,7350464
86,75728607	-4,027835846	795,8549194
86,65557098	-4,097136974	801,9586182
86,55381775	-4,150385857	808,0645752
86,45185852	-4,208872318	814,1859741
86,35007477	-4,26469183	820,2903442
86,24828339	-4,333333969	826,3988037
86,14642334	-4,408939362	832,5115356
86,04465485	-4,488083839	838,6194458
85,94277191	-4,557514668	844,7355347
85,84085083	-4,611209869	850,850769
85,73893738	-4,645223141	856,9673462
85,63700867	-4,698544025	863,0824585
85,53510284	-4,755473137	869,1981812
85,4332962	-4,822879314	875,3062134
85,33133698	-4,887578487	881,4252319
85,22949219	-4,946923733	887,5383911
85,12756348	-5,010533333	893,6506348
85,02563477	-5,067300797	899,7714844
84,92376709	-5,130635262	905,8822632
84,82183838	-5,202124596	911,9997559
84,71994781	-5,258753777	918,1138306
84,61811066	-5,303603172	924,2244263
84,51618958	-5,378835678	930,3397217
84,41436005	-5,44680357	936,4516602
84,31243134	-5,506242752	942,565918
84,21047211	-5,563563347	948,6834106
84,10864258	-5,638207912	954,7963257
84,00669098	-5,703950405	960,9130859
83,90473938	-5,759773731	967,0296631
83,80281067	-5,825293541	973,1466675
83,70095062	-5,91789341	979,2562866
83,59920502	-5,995427132	985,3639526
83,49733734	-6,048010349	991,4770508
83,3953476	-6,103557587	997,5970459
83,2935791	-6,148137093	1003,70282
83,19171143	-6,178803921	1009,814636
83,08974457	-6,200199127	1015,932861
82,98781586	-6,247628689	1022,051208
82,8859787	-6,290904999	1028,159668
82,78408813	-6,340683937	1034,273682
82,68240356	-6,393131733	1040,373047
82,58054352	-6,45223093	1046,485596
82,4786377	-6,504472256	1052,603271
82,37679291	-6,535322666	1058,714966
82,27482605	-6,57938385	1064,828735
82,17285156	-6,635018826	1070,951538
82,07099152	-6,701192856	1077,062866
81,96902466	-6,743832111	1083,180298
81,8670578	-6,807223797	1089,299316
81,76512146	-6,856161118	1095,415771
81,66311646	-6,901660442	1101,534424
81,56119537	-6,93275547	1107,648315
81,45929718	-6,98380661	1113,765259
81,35733795	-7,048549652	1119,88269
81,25541687	-7,097723484	1125,998535
81,15341949	-7,162785053	1132,118652
81,0515976	-7,231245518	1138,228394
80,94963837	-7,316016197	1144,346924
80,8476181	-7,42172718	1150,465576
80,74575043	-7,511579037	1156,578003
80,64375305	-7,579175472	1162,69873
80,54177856	-7,628592014	1168,817871
80,439888	-7,686834335	1174,930664
80,33802795	-7,714169502	1181,04248
80,23608398	-7,74243021	1187,160034
80,1341629	-7,778280735	1193,275757
80,0322113	-7,830765247	1199,393188
79,9303894	-7,892615318	1205,500244
79,82863617	-7,974194527	1211,608765
79,7268219	-8,03759861	1217,715942
79,62483978	-8,103770256	1223,835938
79,522995	-8,185678482	1229,944946
79,42102814	-8,281730652	1236,065308
79,31912994	-8,366463661	1242,177368
79,2171402	-8,452625275	1248,296143
79,11521912	-8,554672241	1254,414063
79,01324463	-8,60868454	1260,531616
78,9112854	-8,647836685	1266,648193
78,8092804	-8,678620338	1272,768433
78,70735168	-8,715681076	1278,884766
78,60536194	-8,76745224	1285,005127
78,50356293	-8,817215919	1291,111816
78,40162659	-8,862422943	1297,227539
78,29975891	-8,960263252	1303,341309
78,19775391	-9,08381176	1309,459717
78,09577942	-9,177131653	1315,581665
