scan 920/11/202208:56:57		
temp(C)	power	time(seconds)
5,136105061	395,0452881	7,127402782
5,238981247	363,6921082	13,24363422
5,340076447	294,4639282	19,35956192
5,440977573	243,2258911	25,48019791
5,541803837	202,4311676	31,60305595
5,642507076	166,7153931	37,71746063
5,743227959	135,0393219	43,83182907
5,843797207	107,6528854	49,93811798
5,944535255	84,54782104	56,05527496
6,045295715	65,61334991	62,17213821
6,146132946	50,39334106	68,29081726
6,246825695	38,42590332	74,40126801
6,347668648	29,09099388	80,51840973
6,448624611	21,92828751	86,63465881
6,54940033	16,52684975	92,74518585
6,650332928	12,51999569	98,85809326
6,751159668	9,551105499	104,9640961
6,852105141	7,403428555	111,0747528
6,953110695	5,873135567	117,1840057
7,054149151	4,859005451	123,2992859
7,155309677	4,156062603	129,4154968
7,2564888	3,719883204	135,5301819
7,35769701	3,496072054	141,6500397
7,459095478	3,396017313	147,7749329
7,560103416	3,402843714	153,874054
7,661385059	3,452079058	159,9870758
7,762670994	3,623078346	166,1066437
7,863901138	3,804887056	172,2162323
7,965277672	3,988389969	178,3357544
8,066728592	4,146277428	184,4536438
8,168046951	4,346498966	190,5645599
8,26941967	4,545370579	196,6754913
8,370933533	4,738419533	202,7989349
8,472426414	4,910171986	208,9128113
8,573913574	5,072441578	215,0323792
8,675426483	5,215563774	221,1486816
8,776940346	5,349251747	227,2631683
8,878298759	5,490358829	233,3694
8,979901314	5,641070366	239,4877777
9,081368446	5,750199318	245,5996094
9,182952881	5,84846735	251,7149506
9,284566879	5,935575008	257,8352356
9,386185646	6,022082806	263,9502563
9,48793602	6,106652737	270,0758972
9,589398384	6,179618359	276,1809692
9,690992355	6,264713287	282,2930908
9,792650223	6,341883659	288,4087219
9,894283295	6,404453278	294,5276184
9,996006966	6,456066132	300,6434326
10,09763622	6,498400688	306,7550659
10,19931984	6,531401157	312,8722229
10,30102253	6,562243938	318,9884033
10,40262794	6,585124969	325,0987244
10,50428581	6,607141972	331,2096252
10,60596561	6,634537697	337,3213501
10,70773411	6,669406414	343,4420776
10,8095665	6,707593918	349,5608826
10,9112606	6,748111725	355,6750183
11,01300907	6,792615891	361,7918701
11,11487865	6,84115696	367,9165955
11,21662331	6,89666748	374,0284424
11,31834412	6,958236217	380,1399841
11,4201622	7,019125462	386,2590637
11,52203941	7,060489655	392,3772583
11,62372112	7,107857227	398,4862061
11,72551537	7,160632133	404,6060181
11,82723427	7,205668449	410,7156372
11,92919254	7,248370647	416,8406982
12,0309906	7,306206703	422,9547119
12,13286209	7,358286858	429,0737915
12,23469353	7,399795532	435,1933594
12,33653259	7,434861183	441,306366
12,43835449	7,470796108	447,4232788
12,54025555	7,50178957	453,5436707
12,64215946	7,541285992	459,6632385
12,74406338	7,569679737	465,77948
12,84581566	7,618597507	471,8920288
12,94759083	7,65166235	478,0025024
13,0493784	7,673773766	484,1166687
13,15124035	7,693994045	490,23349
13,25304317	7,723635674	496,3444519
13,35478783	7,750969887	502,4541016
13,45651436	7,780329227	508,5623474
13,55844116	7,8098526	514,6796875
13,66018677	7,845928669	520,7911987
13,76207066	7,872113705	526,9086304
13,86398888	7,890974045	533,0223389
13,96576023	7,907677174	539,1348877
14,06768322	7,932243824	545,2548218
14,16959	7,948954105	551,3717041
14,27135181	7,970024109	557,4789429
14,37318134	7,993972301	563,5916138
14,47490597	8,014546394	569,6975708
14,5767231	8,024673462	575,8103638
14,67865181	8,042718887	581,9256592
14,78040886	8,061894417	588,0377197
14,8822794	8,078773499	594,149353
14,98406601	8,094928741	600,2618408
15,08601093	8,116301537	606,3778076
15,18779087	8,143268585	612,4852295
15,28936863	8,1647892	618,5848999
15,39136887	8,170695305	624,7044067
15,49316216	8,184095383	630,8147583
15,5952034	8,199876785	636,9402466
15,69699001	8,220137596	643,0479736
15,79878998	8,228239059	649,1566772
15,90061283	8,235380173	655,2686768
16,00258064	8,251645088	661,3865356
16,10447884	8,263038635	667,501709
16,20638084	8,26756382	673,6161499
16,30815697	8,265836716	679,7245483
16,41014099	8,27306366	685,8432007
16,51204872	8,27636528	691,9604492
16,61390305	8,2751894	698,0714722
16,71585846	8,277424812	704,1893921
16,81767082	8,275457382	710,3021851
16,91957474	8,273851395	716,4141846
17,02155304	8,26961422	722,5317383
17,12336731	8,268260002	728,6403198
17,22525978	8,268194199	734,7554932
17,32711601	8,266499519	740,8688354
17,42892265	8,263162613	746,9767456
17,53088379	8,260857582	753,0961914
17,63276863	8,261311531	759,2099609
17,73462868	8,258900642	765,3217773
17,83639526	8,256608963	771,4265747
17,93831062	8,255399704	777,5429077
18,04019165	8,253962517	783,6569824
18,14195442	8,251345634	789,7629395
18,2438755	8,248332977	795,8798218
18,34575081	8,246076584	801,991333
18,44766998	8,244501114	808,1079102
18,54956245	8,242875099	814,2195435
18,65147209	8,236736298	820,3359375
18,75331116	8,236233711	826,447876
18,85521698	8,236441612	832,5623779
18,95712852	8,235259056	838,6773071
19,0590744	8,235115051	844,7941284
19,16101837	8,234654427	850,9107056
19,26276398	8,2336092	857,0147705
19,36466217	8,232782364	863,1308594
19,46663094	8,230316162	869,2507324
19,56853867	8,226337433	875,3651733
19,67040634	8,220331192	881,4779663
19,77241707	8,218317032	887,5976563
19,87432289	8,219254494	893,713501
19,97615623	8,219911575	899,8241577
20,07810211	8,21887207	905,942627
20,17995834	8,219861031	912,0535278
20,2818222	8,221536636	918,163208
20,3836956	8,219856262	924,2773438
20,48550606	8,21154213	930,3867798
20,58727837	8,210085869	936,4921875
20,68915176	8,213450432	942,6038208
20,79105759	8,215963364	948,7210083
20,89297485	8,217556	954,835022
20,99487495	8,217587471	960,9494019
21,09680557	8,219567299	967,0670166
21,19887733	8,22005558	973,1947021
21,30081177	8,222240448	979,3095703
21,40273666	8,227642059	985,4232788
21,50465775	8,238721848	991,5404663
21,60666275	8,246334076	997,6599121
21,70861816	8,247979164	1003,777039
21,8105545	8,248497009	1009,893188
21,91252708	8,253539085	1016,013672
22,01438904	8,260877609	1022,125488
22,11631393	8,268625259	1028,240723
22,21825218	8,277630806	1034,355225
22,32010841	8,287584305	1040,462646
22,42183876	8,297947884	1046,571655
22,52367783	8,301687241	1052,682739
22,62556267	8,303933144	1058,796509
22,72747421	8,305588722	1064,909424
22,82935333	8,313363075	1071,023438
22,93125343	8,324341774	1077,137207
23,03304863	8,345966339	1083,243408
23,13494682	8,356824875	1089,357178
23,23671913	8,370861053	1095,4646
23,33862305	8,378587723	1101,578491
23,44040489	8,390647888	1107,686279
23,54209137	8,40079689	1113,788452
23,64397049	8,414464951	1119,897949
23,74583244	8,431635857	1126,01416
23,84775162	8,461001396	1132,127441
23,94973946	8,475160599	1138,250122
24,05161858	8,485876083	1144,36145
24,15361214	8,49878788	1150,478394
24,25553894	8,516221046	1156,595825
24,35740471	8,535383224	1162,708374
24,45921135	8,551524162	1168,817017
24,56116104	8,582783699	1174,93396
24,66302872	8,600120544	1181,046875
24,76486969	8,610251427	1187,156372
24,86681557	8,626567841	1193,274536
24,96878433	8,643718719	1199,390625
25,0705986	8,659212112	1205,498901
25,17249489	8,674028397	1211,614258
25,27440643	8,697147369	1217,728271
25,37623596	8,722169876	1223,839966
25,47793198	8,749746323	1229,940186
25,5797081	8,775176048	1236,046021
25,68163109	8,80039978	1242,162598
25,78347778	8,813786507	1248,273193
25,8854351	8,827217102	1254,391724
25,98748207	8,835977554	1260,514526
26,08951569	8,84700489	1266,637451
26,19139862	8,859096527	1272,751099
26,29334641	8,870024681	1278,864868
26,3952179	8,892930031	1284,976563
26,49704933	8,925282478	1291,089111
26,59891319	8,961677551	1297,198608
26,70074272	8,980379105	1303,310425
26,8027153	8,99019146	1309,429077
26,90467072	9,003843307	1315,545776
27,00664139	9,029941559	1321,665649
27,1084671	9,046065331	1327,775024
27,21048355	9,068454742	1333,894653
27,31236267	9,099355698	1340,005005
27,41423035	9,127929688	1346,122314
27,51622581	9,142208099	1352,238037
27,6180687	9,148812294	1358,347534
27,72000504	9,16966629	1364,466431
27,82197189	9,171646118	1370,582153
27,9238224	9,192673683	1376,691772
28,02570343	9,210904121	1382,805542
28,12752342	9,22103405	1388,917236
28,22953224	9,245753288	1395,036743
28,33145142	9,260868073	1401,151489
28,43348122	9,276991844	1407,273926
28,53543472	9,300367355	1413,390503
28,63743973	9,312418938	1419,51123
28,7394104	9,331148148	1425,628418
28,84132004	9,366467476	1431,742432
28,94318199	9,38609314	1437,856812
29,04507446	9,408218384	1443,969604
29,14697456	9,443810463	1450,084961
29,24886322	9,48157692	1456,19812
29,35085487	9,506987572	1462,318237
29,45279121	9,515128136	1468,434937
29,55478668	9,536694527	1474,550659
29,65671539	9,550009727	1480,670288
29,75863075	9,556055069	1486,784668
29,86053467	9,559578896	1492,89624
29,962286	9,575829506	1499,005249
30,06434441	9,6140728	1505,12561
30,16613007	9,641348839	1511,23291
30,26813126	9,651574135	1517,352905
30,36996841	9,657053947	1523,463989
30,47200012	9,683074951	1529,58667
30,57390785	9,703788757	1535,699707
30,67583466	9,719861984	1541,815552
30,77783966	9,747179985	1547,935547
30,87972069	9,789511681	1554,050049
30,98163605	9,811997414	1560,162842
31,08355141	9,826159477	1566,279907
31,18551636	9,845103264	1572,397095
31,28750801	9,865983963	1578,519287
31,38944435	9,874744415	1584,632568
31,49127197	9,889864922	1590,739868
31,59314728	9,918081284	1596,855103
31,69508362	9,930641174	1602,970215
31,79705238	9,944450378	1609,08606
31,89893913	9,959122658	1615,201172
32,00078583	9,973139763	1621,312134
32,10267258	9,984666824	1627,428101
32,20454025	9,988883972	1633,539307
32,30659485	10,01055241	1639,66272
32,40857315	10,05144215	1645,778442
32,51047516	10,09488583	1651,89563
32,61244583	10,11508751	1658,012573
32,71440125	10,14516735	1664,130127
32,81633759	10,16638851	1670,247437
32,91830063	10,1707077	1676,362183
33,02015305	10,18479824	1682,473877
33,12184143	10,21719742	1688,575928
33,22368622	10,24579144	1694,688354
33,325634	10,26403236	1700,802979
33,4274826	10,2794342	1706,911011
33,52935028	10,29012108	1713,02478
33,63129425	10,30813503	1719,144165
33,73314285	10,3265543	1725,255859
33,83507919	10,35161114	1731,367554
33,9368782	10,36903763	1737,477173
34,03880692	10,37047482	1743,594116
34,14069748	10,38277912	1749,705811
34,2426033	10,40242386	1755,821533
34,34438324	10,43049717	1761,928345
34,44623184	10,45860195	1768,040894
34,54794693	10,46888638	1774,138916
34,64982986	10,49396038	1780,252197
34,75162125	10,53266811	1786,363159
34,85347748	10,56813717	1792,473267
34,95532227	10,58218956	1798,586304
35,05712128	10,59569263	1804,689819
35,15891266	10,60337639	1810,800537
35,26078033	10,61810684	1816,91333
35,3627243	10,64641953	1823,029785
35,46460724	10,6859169	1829,141235
35,56641769	10,71865749	1835,250366
35,66831589	10,73394203	1841,36499
35,77030945	10,74555302	1847,484253
35,87221146	10,76914597	1853,5979
35,9740715	10,78372383	1859,709473
36,07605743	10,78721619	1865,827881
36,17799377	10,80427837	1871,944092
36,27992249	10,84446526	1878,058716
36,38180161	10,87254524	1884,174194
36,48373032	10,88393116	1890,289795
36,58557129	10,89642715	1896,400635
36,68739319	10,93246555	1902,509766
36,78921127	10,961483	1908,616943
36,89110947	10,99745178	1914,731689
36,99300385	11,01604462	1920,844971
