scan 320/11/202214:27:31		
temp(C)	power	time(seconds)
5,188483238	395,4451294	10,20588303
5,290079117	324,789917	16,33171654
5,391192913	263,3394165	22,45908737
5,49205637	217,1840057	28,58014107
5,592763424	178,029068	34,69501114
5,693547249	143,2507477	40,81787491
5,794411659	112,7863846	46,94504929
5,89521265	86,81387329	53,06267166
5,996127129	65,25018311	59,19137955
6,096972466	47,83448029	65,31008911
6,19770956	33,98757553	71,42214203
6,298523903	23,17114067	77,53849792
6,399472713	14,84764767	83,66090393
6,500401497	8,505828857	89,77781677
6,601302624	3,828919649	95,89142609
6,702264309	0,374883562	102,0049667
6,803242683	-2,140466928	108,120018
6,904284477	-3,965217352	114,2355881
7,00530529	-5,220502377	120,3487091
7,106323242	-6,03076458	126,4584045
7,207692623	-6,559972286	132,5865784
7,309136391	-6,842278004	138,71698
7,410365582	-6,927409649	144,8370819
7,511748314	-6,894052982	150,9595337
7,613075256	-6,808730125	157,0776062
7,714335918	-6,647405624	163,1931458
7,815643311	-6,414680004	169,3082733
7,916935921	-6,217705727	175,4219971
8,018276215	-5,985085487	181,5356903
8,119708061	-5,729096413	187,6532593
8,221214294	-5,48434782	193,7770081
8,322703362	-5,245471478	199,8957977
8,424139977	-5,057115555	206,0109558
8,525704384	-4,868921757	212,1317444
8,627188683	-4,692216396	218,2462921
8,728759766	-4,5218997	224,3683319
8,83044529	-4,351901531	230,4933624
8,93205452	-4,19018364	236,615036
9,033561707	-4,03780508	242,7258911
9,135190964	-3,905539751	248,8456421
9,236822128	-3,785398722	254,9678192
9,338570595	-3,685972452	261,0927734
9,44016552	-3,588630438	267,2062988
9,541827202	-3,502690315	273,3260498
9,643557549	-3,423034668	279,4450378
9,745189667	-3,336687803	285,5619507
9,846820831	-3,263816118	291,6782227
9,948667526	-3,20423317	297,8038635
10,050354	-3,156684875	303,9220886
10,15207863	-3,121012926	310,0384216
10,25380325	-3,091831207	316,1574097
10,35542202	-3,060233116	322,2657776
10,45711231	-3,02044487	328,3813477
10,55879593	-2,958776951	334,4950256
10,66052914	-2,902463675	340,6118774
10,76233482	-2,841802597	346,7323303
10,86407375	-2,780120373	352,8451843
10,96580982	-2,720283747	358,9614868
11,06750107	-2,654984713	365,074585
11,16927338	-2,581034422	371,1895142
11,27101517	-2,485552073	377,3039856
11,37271118	-2,410544157	383,4147339
11,47451782	-2,343365669	389,5323792
11,57633877	-2,27593565	395,6479797
11,67811584	-2,205207348	401,7643433
11,78001118	-2,151922703	407,8867188
11,8819046	-2,09336257	414,0089722
11,98385334	-2,042267561	420,1318054
12,08564472	-1,968282819	426,2467041
12,18739414	-1,914766669	432,3577881
12,28945923	-1,861221671	438,4898987
12,39142704	-1,804665565	444,614502
12,49332237	-1,748156071	450,7341614
12,59512901	-1,707566738	456,846283
12,69698524	-1,663289189	462,9642029
12,79884911	-1,61808598	469,0809631
12,9006176	-1,570145607	475,1918945
13,00252628	-1,519652963	481,3128662
13,10434628	-1,485454917	487,4265747
13,20615005	-1,440401793	493,5387573
13,30810833	-1,404740691	499,6598511
13,41004181	-1,363451123	505,7788086
13,51203918	-1,33066678	511,9028931
13,61398697	-1,295194149	518,0259399
13,71587086	-1,260847449	524,1404419
13,81776428	-1,226397872	530,2580566
