scan 1005/12/202208:57:21		
temp(degC)	power	time(seconds)
99,86514282	-568,225708	7,137447357
99,75867462	-530,6743774	13,25254154
99,65711212	-419,0668945	19,36665535
99,55596924	-335,5872498	25,48674202
99,45497894	-268,7436829	31,60772705
99,35403442	-209,2767334	37,72809982
99,25320435	-155,8678131	43,84594727
99,15229034	-109,2319717	49,96821594
99,05140686	-70,03335571	56,08617401
98,95050049	-38,09373474	62,20880508
98,84957886	-12,76276016	68,32751465
98,74859619	6,833758831	74,44884491
98,64761353	21,63852882	80,57305145
98,54660034	32,53126907	86,69589233
98,44561005	40,29566956	92,81504059
98,34457397	45,69588089	98,93520355
98,24356079	49,23619843	105,0516815
98,14241028	51,30374908	111,1754532
98,04117584	52,32708359	117,303688
97,94004059	52,62207413	123,4226685
97,83895111	52,29876709	129,5372772
97,73777771	51,58023834	135,6581726
97,63669586	50,60948181	141,7672119
97,53549194	49,4125061	147,8835297
97,43429565	48,13404083	154,0014191
97,33289337	46,76301193	160,1243286
97,23174286	45,36230469	166,2338867
97,13032532	43,94686127	172,3575439
97,02892303	42,55098724	178,4816437
96,92749786	41,245224	184,6056671
96,82623291	40,02493668	190,7169952
96,72471619	38,8660202	196,8386993
96,62329865	37,78887177	202,9591522
96,52179718	36,83398438	209,082428
96,4203186	36,0761795	215,202713
96,31886292	35,45059586	221,3177185
96,21739197	34,72282028	227,4368896
96,11590576	33,88924789	233,5531006
96,01443481	33,03035355	239,6678162
95,91290283	32,146595	245,7896423
95,81138611	31,28734589	251,9033661
95,70977783	30,46498299	258,0254822
95,60808563	29,6614933	264,1525269
95,50640106	28,85832405	270,2729492
95,40486145	28,02511787	276,3890686
95,3032608	27,16524696	282,5085754
95,20154572	26,45317268	288,6311951
95,09996033	25,85975838	294,7461548
94,99816895	25,31236649	300,872406
94,89646149	24,77158356	306,9949341
94,79483795	24,23123932	313,1114197
94,69307709	23,70086288	319,23526
94,59130096	23,24206161	325,3554382
94,48965454	22,80143738	331,4742737
94,38792419	22,36690712	337,5912476
94,28610992	21,91003418	343,7174988
94,18434906	21,49521255	349,8378906
94,08263397	21,12687683	355,9541321
93,98085022	20,7567997	362,0768738
93,87902832	20,44383621	368,1982727
93,77729797	20,15385628	374,3169861
93,67553711	19,89468002	380,434845
93,57376099	19,59936142	386,5552979
93,4718399	19,31204414	392,6797791
93,37010193	19,03487206	398,7966614
93,26819611	18,76928329	404,9226685
93,16634369	18,52352905	411,0433655
93,06460571	18,25296974	417,1594238
92,96279907	17,99139023	423,2786255
92,86110687	17,73643303	429,3882751
92,75939941	17,48697662	435,4999695
92,65752411	17,25402451	441,6236877
92,55573273	17,05797386	447,7384033
92,4539032	16,84942245	453,8585815
92,35199738	16,68518066	459,9819336
92,25016022	16,54061317	466,0986938
92,14834595	16,38710022	472,2154846
92,04652405	16,24602127	478,3327026
91,94470215	16,09374428	484,4473877
91,84282684	15,93983173	490,5708618
91,74100494	15,77610493	496,6822205
91,63916016	15,61680698	502,8025513
91,53730774	15,45188332	508,91745
91,43547058	15,29345798	515,0349121
91,33371735	15,17859554	521,1463623
91,23184967	15,0835371	527,2637329
91,12992096	14,96539879	533,3866577
91,02796936	14,83568096	539,5081787
90,9260788	14,69102192	545,6271973
90,82418823	14,55318928	551,7458496
90,72220612	14,42468262	557,866272
90,62038422	14,30762482	563,9823608
90,51850128	14,19899654	570,0997925
90,41650391	14,11917114	576,227356
90,31453705	14,05079174	582,3452759
90,21255493	13,95421314	588,4712524
90,11055756	13,86179829	594,5938721
90,0085907	13,73676682	600,715271
89,90660858	13,63183022	606,8387451
89,80465698	13,534832	612,9578247
89,70274353	13,45243645	619,078125
89,60083771	13,37622833	625,194458
89,49889374	13,29854298	631,3166504
89,39694214	13,22967243	637,4345093
89,29504395	13,14648247	643,5532227
89,19313049	13,04339504	649,6704712
89,09114075	12,93995667	655,7913208
88,98921204	12,86873817	661,9101563
88,88731384	12,78030586	668,0257568
88,78542328	12,68304062	674,1433716
88,6835022	12,57466984	680,2617188
88,5814743	12,46857643	686,3873901
88,47948456	12,3899765	692,5071411
88,37742615	12,30017662	698,6331787
88,27546692	12,19202328	704,7528076
88,17354584	12,1102438	710,8707275
88,07154083	12,03085041	716,9924316
87,96957397	11,9465189	723,1130981
87,86758423	11,85843372	729,2335815
87,76557922	11,78787804	735,3563843
87,66365814	11,71475029	741,4738159
87,56159973	11,66379642	747,6011963
87,45947266	11,60886383	753,7298584
87,35746765	11,53834057	759,8490601
87,25557709	11,44947624	765,9656982
87,15354919	11,35683918	772,088623
87,05151367	11,26937866	778,2113037
86,94960022	11,19581604	784,3292847
86,84757996	11,13613224	790,4490356
86,74565125	11,06294155	796,5685425
86,64369202	10,9961319	802,6868286
86,54167175	10,93097496	808,8070068
86,43967438	10,84562397	814,9313354
86,33761597	10,78647137	821,0556641
86,23557281	10,73514366	827,1779175
86,13362122	10,69695663	833,2958984
86,03164673	10,62219334	839,4178467
85,92958832	10,54471302	845,5420532
85,82746124	10,48881054	851,6689453
85,72540283	10,42088795	857,7952271
85,62320709	10,35707855	863,9249268
85,52126312	10,29487038	870,0426025
85,41913605	10,23361778	876,1729126
85,31708527	10,16140556	882,2946777
85,215065	10,08609676	888,416748
85,11307526	10,04131222	894,5369873
85,0111618	9,999582291	900,6542969
84,90917206	9,945607185	906,7748413
84,80711365	9,890855789	912,8963013
84,70508575	9,831029892	919,0186768
84,60308075	9,774220467	925,1417847
84,50100708	9,715597153	931,2658081
84,3989563	9,651360512	937,3911133
84,29696655	9,596037865	943,5074463
84,19490051	9,556940079	949,6340942
84,09288025	9,496007919	955,7557983
83,99087524	9,418192863	961,8782959
83,88882446	9,359610558	967,9998779
83,78679657	9,309225082	974,1226807
83,68482971	9,251081467	980,2399292
83,58287048	9,196818352	986,3601685
83,48085785	9,149968147	992,4813232
83,37889862	9,091817856	998,5967407
83,27684021	9,027902603	1004,722168
83,17492676	8,967982292	1010,838196
83,07299042	8,933355331	1016,955444
82,97100067	8,876591682	1023,07489
82,86898041	8,82800293	1029,195435
82,76694489	8,766210556	1035,319092
82,66500854	8,717980385	1041,432739
82,56305695	8,667866707	1047,553955
82,46102142	8,610548973	1053,674316
82,35904694	8,546478271	1059,793457
82,25694275	8,473343849	1065,9198
82,15489197	8,407611847	1072,044678
82,05281067	8,347234726	1078,170898
81,95070648	8,289924622	1084,294556
81,84875488	8,251309395	1090,412598
81,74674225	8,19950676	1096,535889
81,6447525	8,148759842	1102,651733
81,54279327	8,106533051	1108,770264
81,44085693	8,051373482	1114,884888
81,33890533	7,993346691	1121,006104
81,23693848	7,925398827	1127,12146
81,13500977	7,869245529	1133,237793
81,03296661	7,822694778	1139,360352
80,9310379	7,765377522	1145,479248
80,82904816	7,707229137	1151,596924
80,72710419	7,650331974	1157,713501
80,62515259	7,592559814	1163,829102
80,52311707	7,542553425	1169,953369
80,42115784	7,47424078	1176,070435
80,31919861	7,426517963	1182,189087
80,21724701	7,366425991	1188,305908
80,11511993	7,299304485	1194,430664
80,01309967	7,24243784	1200,553589
79,91112518	7,18969965	1206,674316
79,80908203	7,123626232	1212,795776
79,70715332	7,073474884	1218,911133
79,60516357	7,011168003	1225,029297
79,50322723	6,952249527	1231,146484
79,40129089	6,88101387	1237,263916
79,29931641	6,826980114	1243,382324
79,19737244	6,770718575	1249,498291
79,09535217	6,713482857	1255,623901
78,99337006	6,639484882	1261,737793
78,89128113	6,555235386	1267,864014
