scan 105/12/202208:57:21		
temp(degC)	power	time(seconds)
5,099294662	345,4139099	5,125128269
5,206372738	386,5402222	11,27468586
5,308269501	313,5663452	17,42720795
5,409768105	254,8601685	23,57968712
5,511111736	209,8388824	29,7312088
5,612397194	171,2551422	35,88178253
5,713686943	137,0908051	42,03326416
5,814970493	107,3100357	48,18425751
5,916292191	82,07788849	54,33535385
6,017648697	61,19761276	60,48786926
6,119027615	44,34917831	66,6403656
6,220319748	31,03543472	72,786026
6,321736336	20,66752052	78,93848419
6,423216343	12,67645741	85,09098053
6,52473402	6,65248394	91,24349213
6,626266003	2,140862226	97,3950119
6,727827072	-1,190170527	103,5455399
6,829449177	-3,585004091	109,6970901
6,931102276	-5,264648914	115,8485947
7,0327878	-6,413552761	122,000145
7,134513855	-7,158063412	128,1526642
7,236272335	-7,607502937	134,3041534
7,338026047	-7,829063416	140,4547119
7,439851761	-7,902130604	146,6072083
7,541677952	-7,841965199	152,7595062
7,643556118	-7,758183002	158,909256
7,745437145	-7,604332924	165,0617676
7,847354412	-7,368015289	171,2132721
7,949304581	-7,123106956	177,365799
8,051293373	-6,873820305	183,5182953
8,153285027	-6,633823872	189,6710052
8,255274773	-6,378710747	195,8213196
8,35730648	-6,141095638	201,9718781
8,459352493	-5,945961952	208,1243896
8,561412811	-5,734770298	214,2758942
8,663506508	-5,537144661	220,4283905
8,765607834	-5,368263721	226,579895
8,867730141	-5,203590393	232,7314453
8,969825745	-5,045399666	238,881012
9,071951866	-4,900146008	245,0315399
9,174143791	-4,776942253	251,1840515
9,276315689	-4,671455383	257,3355713
9,378507614	-4,547278404	263,4870911
9,480676651	-4,439240456	269,6376343
9,582924843	-4,344895363	275,7901306
9,685147285	-4,260614872	281,9416504
9,787402153	-4,177826405	288,0931702
9,889631271	-4,101412773	294,2446899
9,991892815	-4,044835567	300,3961792
10,09418201	-4,004372597	306,5486755
10,19646931	-3,974857807	312,6992493
10,29876232	-3,943083048	318,8507385
10,40108871	-3,89209199	325,0036621
10,50340748	-3,823799133	331,1557617
10,60569572	-3,747282028	337,3053284
10,70801735	-3,676239729	343,4568787
10,81035519	-3,60138011	349,6083679
10,91269016	-3,530786991	355,7602844
11,01505852	-3,467012882	361,9124146
11,1174221	-3,388458729	368,0629578
11,2197628	-3,316823483	374,2144775
11,32213306	-3,237266541	380,3659973
11,42450905	-3,16450882	386,5185242
11,52690697	-3,097492218	392,6712341
11,6292696	-3,020655394	398,8215332
11,73165703	-2,959505081	404,9730835
11,83402443	-2,897750854	411,1235962
11,93645763	-2,849104166	417,2760925
12,03887653	-2,806061745	423,4285889
12,14129639	-2,75201869	429,5810852
12,24367905	-2,69771862	435,7306519
12,3461256	-2,656871796	441,8831787
12,44854832	-2,609776974	448,034668
12,55096912	-2,558258295	454,1862183
12,65341377	-2,526998043	460,3386841
12,75585747	-2,492048979	466,4902039
12,85826397	-2,437890053	472,639801
12,96069241	-2,38716507	478,7913208
13,06313801	-2,352090359	484,9418335
13,16560078	-2,323586702	491,0943298
13,26805401	-2,286571264	497,2458496
13,37050343	-2,256306887	503,3973694
13,4729948	-2,228703737	509,5498962
13,57547951	-2,195461512	515,7023926
13,67795658	-2,138208628	521,8548584
13,78040981	-2,094707966	528,0065308
13,88291264	-2,064143181	534,1569824
13,9853344	-2,045501471	540,3084717
14,08783054	-2,015030622	546,4609985
14,19031239	-2,004080057	552,6124878
14,29280281	-1,980715752	558,7644043
14,39528561	-1,937737107	564,9165039
14,49778557	-1,887675285	571,0689697
14,60027027	-1,856282115	577,22052
14,70276737	-1,838350654	583,3730469
14,80526066	-1,810753822	589,5255127
14,9077425	-1,791991949	595,6775513
15,01018047	-1,773712039	601,8256226
15,11266232	-1,747780085	607,9771729
15,21514511	-1,716265202	614,1276855
15,31763268	-1,692469239	620,2802124
15,4201479	-1,678797603	626,4326782
15,52264595	-1,65197289	632,5852051
15,62515831	-1,629768968	638,7377319
15,72766304	-1,617027521	644,8901978
15,83015728	-1,609629989	651,0407715
15,93265152	-1,592939377	657,1922607
16,03516197	-1,566226602	663,3452148
16,13763428	-1,543999672	669,4953613
16,24014282	-1,531471848	675,6468506
16,34261894	-1,524821758	681,7973633
16,44513893	-1,512690663	687,9498901
16,54765511	-1,505939841	694,102356
16,65014839	-1,495074034	700,2490234
16,75260162	-1,482419729	706,4014893
16,85512161	-1,461850762	712,5540161
16,95723915	-1,456762195	718,6766357
17,0593071	-1,45288229	724,8049927
17,16137123	-1,438824654	730,9282837
17,26332474	-1,425749779	737,0460815
17,36538696	-1,415745735	743,1712646
17,46730804	-1,398118973	749,2874756
17,56924438	-1,379037976	755,4055786
17,67119789	-1,364291668	761,5241699
17,77312088	-1,359319448	767,6367188
17,87504768	-1,348071814	773,7540894
17,97709084	-1,329998493	779,8776245
18,07902908	-1,322290182	785,9966431
18,18098068	-1,313904762	792,1112671
18,28292847	-1,307294011	798,2283936
18,38488579	-1,299804807	804,3478394
18,48681259	-1,288498044	810,4639893
18,58889389	-1,281913161	816,5910034
18,69090843	-1,272713065	822,7106934
18,79283142	-1,265592813	828,8267212
18,89478302	-1,262541056	834,9459229
18,99672699	-1,258022308	841,0610962
19,09866333	-1,247490406	847,1796265
19,20071411	-1,233836532	853,3010864
19,30276299	-1,229641795	859,423584
19,40470123	-1,225851417	865,543396
19,50670433	-1,219087481	871,6636963
19,60869598	-1,218382478	877,7822876
19,71063232	-1,217542648	883,8970947
19,81257439	-1,211252093	890,017334
19,91454697	-1,207081079	896,1360474
20,01656532	-1,202372432	902,2565308
20,11862183	-1,200205088	908,380249
20,22058678	-1,196065187	914,4987183
20,32262611	-1,192541122	920,6201782
20,4246521	-1,187483907	926,7422485
20,52661324	-1,187412739	932,8577881
20,62864494	-1,176834464	938,980896
20,73066139	-1,162878752	945,1049194
20,83262253	-1,155449867	951,2218018
20,93469048	-1,155679345	957,3457642
21,03681755	-1,156072021	963,4728394
21,13872528	-1,156639338	969,5855103
21,24073792	-1,155393481	975,7094727
21,34284782	-1,157832265	981,8356934
21,44484711	-1,159099102	987,9575806
21,54689598	-1,156881332	994,0779419
21,64890671	-1,151506662	1000,198486
21,75090218	-1,149447441	1006,320435
21,85293198	-1,149147749	1012,439331
21,95485687	-1,143718362	1018,557007
22,05683327	-1,13799572	1024,674927
22,15873909	-1,135668755	1030,789307
22,26082039	-1,131475687	1036,915161
22,36285591	-1,124628663	1043,035278
22,46487999	-1,121991634	1049,159546
22,56683922	-1,122411251	1055,275391
22,66891289	-1,12339294	1061,400269
22,77090645	-1,123232961	1067,52002
22,87298584	-1,124719858	1073,646362
22,97495651	-1,121638417	1079,762817
23,07693291	-1,116194367	1085,880493
23,17895126	-1,114933848	1092,003174
23,28089714	-1,110979795	1098,119507
23,38289261	-1,107228875	1104,237549
23,48483467	-1,104229331	1110,356201
23,58676338	-1,104782462	1116,469971
23,68872261	-1,103804708	1122,587036
23,79057884	-1,103550792	1128,699951
23,89256477	-1,104396343	1134,820435
23,9946785	-1,105224252	1140,94397
24,0966835	-1,10572648	1147,066162
24,19872093	-1,102685213	1153,187378
24,3007164	-1,096842408	1159,306763
24,40280342	-1,082067847	1165,435425
24,50481987	-1,069269896	1171,556641
24,60687447	-1,060887098	1177,678467
24,70901108	-1,05977428	1183,808228
24,81097603	-1,062494397	1189,924927
24,91304779	-1,063840628	1196,047729
25,0149765	-1,061510444	1202,162842
25,11699867	-1,059289813	1208,285645
25,21896744	-1,05778265	1214,401733
25,3209362	-1,05064559	1220,522339
25,42295265	-1,042429447	1226,644287
25,52487373	-1,034156203	1232,758179
25,62694359	-1,031482577	1238,883179
25,72902489	-1,03238821	1245,008057
25,83098602	-1,035324097	1251,122559
25,93292618	-1,0358634	1257,243774
26,03486824	-1,035483003	1263,358398
26,13684273	-1,029201031	1269,475464
26,2388649	-1,025527835	1275,596802
26,34082794	-1,023068428	1281,716919
26,44288826	-1,021666408	1287,841797
26,54496765	-1,015411258	1293,964355
26,64688301	-1,005152822	1300,080688
26,7489109	-0,995468438	1306,200928
26,85098457	-0,994851589	1312,327026
26,95305443	-0,997011364	1318,448364
27,05509567	-0,992184103	1324,571289
27,15699768	-0,983659565	1330,685059
27,25898743	-0,980859101	1336,803833
27,36103439	-0,978588045	1342,927612
27,46305275	-0,980270207	1349,047852
27,5650959	-0,983748496	1355,169922
27,66705132	-0,989427865	1361,284424
27,76899529	-0,992872357	1367,40564
27,87109375	-0,992219746	1373,528931
27,9730854	-0,991641402	1379,646606
28,07507133	-0,991055429	1385,765625
28,17706871	-0,991657734	1391,883911
28,27907562	-0,993144751	1398,005981
28,381073	-0,994255006	1404,124023
28,48310661	-0,994808555	1410,245972
28,58507156	-0,997151315	1416,36377
28,68710709	-1,000729561	1422,485474
28,78907967	-1,002102017	1428,602783
28,89102745	-1,004231334	1434,719116
28,99306679	-1,004486799	1440,842773
29,09503937	-1,009124756	1446,959961
29,19698524	-1,020184875	1453,078613
29,29894257	-1,030544996	1459,193115
29,40090942	-1,043170691	1465,313232
29,50294685	-1,060934544	1471,434448
29,60492134	-1,077116966	1477,552612
29,70686531	-1,086284637	1483,66748
29,80881882	-1,099126816	1489,786377
29,91090965	-1,122773528	1495,911133
30,01285934	-1,145283461	1502,0271
30,11487961	-1,151108503	1508,150391
30,21692085	-1,167176962	1514,271484
30,31887627	-1,178029895	1520,388672
30,42082405	-1,185917616	1526,502441
30,522892	-1,206077933	1532,630737
30,62507248	-1,234497547	1538,760376
30,72707939	-1,255183816	1544,880371
30,82916451	-1,272520065	1551,005371
30,93117142	-1,280815125	1557,125244
31,03333855	-1,296577215	1563,25708
31,13528442	-1,308758259	1569,371704
31,23715591	-1,314778209	1575,486938
31,33912277	-1,326822877	1581,603149
31,44104576	-1,342093945	1587,717041
31,54300499	-1,354088426	1593,838623
31,64502525	-1,360352516	1599,956665
31,74690437	-1,379549623	1606,069702
31,84884453	-1,395639777	1612,187012
31,95080757	-1,401346564	1618,304077
32,05291748	-1,413118839	1624,431152
32,15490341	-1,428519845	1630,550537
32,25675964	-1,441425085	1636,661499
32,35871506	-1,443608284	1642,78064
