Scn		
temp(degC)	power	time(seconds)
5,097949505	344,7177429	5,100590229
5,205033779	385,5133972	11,21858215
5,306406975	312,6704102	17,34053421
5,407415867	254,9342957	23,46344757
5,508299828	210,8272095	29,58700371
5,60914135	172,7288666	35,71082306
5,70994997	138,802063	41,83285522
5,810788631	109,1118011	47,95732117
5,911525249	83,88103485	54,07104492
6,012364864	62,99300003	60,19389343
6,113219261	46,12375259	66,31256866
6,21401453	32,74037933	72,42976379
6,314801216	22,32004356	78,54141235
6,415664196	14,30081749	84,65735626
6,51671505	8,186548233	90,78227997
6,617843151	3,639790058	96,90709686
6,718804359	0,301212668	103,0234604
6,819852829	-2,09196043	109,1395721
6,920924187	-3,794616699	115,2567596
7,022008896	-4,957070351	121,3721161
7,123156071	-5,734371662	127,4894562
7,224464893	-6,226629734	133,6128082
7,32569313	-6,475622177	139,7312469
7,426892281	-6,547132492	145,8465576
7,528193474	-6,51258707	151,9631348
7,629603863	-6,410026073	158,0893707
7,730982304	-6,225354195	164,210556
7,832350731	-6,041117668	170,3269653
7,933810234	-5,827969074	176,4501343
8,035209656	-5,623765469	182,56604
8,136642456	-5,354655743	188,6867065
8,238153458	-5,082551479	194,8083496
8,339604378	-4,867778778	200,9246216
8,441109657	-4,683920383	207,0451965
8,542709351	-4,477374554	213,1687927
8,644310951	-4,308498383	219,2904358
8,746003151	-4,148140907	225,4174805
8,847716331	-3,985116482	231,5423889
8,949300766	-3,797884941	237,6633606
9,050989151	-3,646430492	243,7889099
9,152666092	-3,521865129	249,9085388
9,254255295	-3,413061619	256,0262146
9,35598278	-3,310456038	262,1473999
9,457548141	-3,211334705	268,2637329
9,559289932	-3,126339436	274,3831177
9,660948753	-3,037955046	280,5023499
9,762610435	-2,948815584	286,619751
9,864275932	-2,871587515	292,7376404
9,966114044	-2,81627202	298,8635254
10,06785107	-2,770626307	304,97995
10,16955471	-2,737598896	311,098877
10,27126884	-2,711687565	317,2142944
10,37302399	-2,681111574	323,3330994
10,47471333	-2,628323317	329,4467773
10,57658005	-2,569706202	335,5729675
10,67843342	-2,511765957	341,6959534
10,78019333	-2,447888613	347,8128967
10,88205719	-2,381083012	353,935791
10,98392296	-2,30974865	360,0582886
11,08575439	-2,233145237	366,1787415
11,18767834	-2,163258076	372,3028259
11,28948975	-2,094528437	378,4223938
11,39127254	-2,011803627	384,5372925
11,49319458	-1,941481948	390,6629639
11,59492683	-1,885393739	396,7739258
11,69684696	-1,813739896	402,8979797
11,7988472	-1,751268268	409,0270996
11,90077496	-1,694569588	415,1487427
12,0026741	-1,633134961	421,2692261
12,10452652	-1,569821477	427,3886719
12,20643711	-1,51529634	433,5092163
12,30831814	-1,470761895	439,6286316
12,41024971	-1,426255703	445,7514954
12,51211071	-1,376822352	451,8686523
12,6140852	-1,331306696	457,9914246
12,71604061	-1,293426633	464,1151123
12,81799793	-1,243721724	470,2408752
12,9199667	-1,194547057	476,3607788
13,02183342	-1,154932261	482,4779663
13,12369156	-1,11482501	488,5938721
13,22560692	-1,080936432	494,7151794
13,32753181	-1,050475359	500,8317261
13,42938614	-1,022293687	506,9503784
13,53140926	-0,999618471	513,0740356
13,63332081	-0,967668593	519,1931763
13,73539543	-0,926330328	525,3204956
13,83727837	-0,883725405	531,43927
13,9391737	-0,859328926	537,5548706
14,04117203	-0,837367892	543,678772
14,14316654	-0,822320521	549,802124
14,24516773	-0,799385428	555,9242554
14,34698677	-0,779232442	562,0338745
14,44887257	-0,75273335	568,1519775
14,55083656	-0,722598433	574,2728882
14,65282345	-0,699884295	580,3930054
