l4at56um-in-pool1pts-25deg-250rpm20/11/202215:03:19	
Time (seconds)	Raw Heat Rate (uJ / s)
1	-91,80877928
2	-91,81014581
3	-91,81115281
4	-91,81186592
5	-91,81230633
6	-91,81248987
7	-91,81247291
8	-91,81223565
9	-91,81173429
10	-91,81102811
11	-91,8100969
12	-91,80900196
13	-91,80781772
14	-91,80658603
15	-91,80530439
16	-91,80390713
17	-91,80241795
18	-91,8008188
19	-91,79907377
20	-91,79721422
21	-91,79517949
22	-91,79302646
23	-91,79093227
24	-91,78902986
25	-91,78726902
26	-91,78566153
27	-91,78414683
28	-91,7826561
29	-91,78121206
30	-91,77979084
31	-91,77837965
32	-91,77695517
33	-91,77557877
34	-91,77438333
35	-91,77334292
36	-91,77254363
37	-91,77192876
38	-91,77141171
39	-91,77096885
40	-91,77055906
41	-91,77015374
42	-91,76966303
43	-91,76905756
44	-91,76824612
45	-91,76730592
46	-91,76638319
47	-91,76558687
48	-91,76495528
49	-91,76435549
50	-91,76377274
51	-91,76317449
52	-91,76259898
53	-91,76214268
54	-91,7617915
55	-91,76166158
56	-91,7617658
57	-91,7620273
58	-91,76244104
59	-91,76309837
60	-91,76397868
61	-91,76494065
62	-91,76587701
63	-91,76671456
64	-91,76750953
65	-91,76828371
66	-91,76903281
67	-91,76974478
68	-91,7702725
69	-91,77061283
70	-91,77061956
71	-91,77036757
72	-91,770082
73	-91,76997474
74	-91,77010172
75	-91,77038073
76	-91,77079551
77	-91,77116339
78	-91,77144333
79	-91,7716382
80	-91,77172395
81	-91,77167551
82	-91,77149347
83	-91,77126401
84	-91,77103732
85	-91,77093204
86	-91,77091953
87	-91,77087157
88	-91,77061522
89	-91,77002208
90	-91,76904405
91	-91,7676757
92	-91,76613668
93	-91,76452132
94	-91,76287442
95	-91,76126736
96	-91,75974326
97	-91,75828539
98	-91,7568404
99	-91,75521599
100	-91,75330802
101	-91,75109482
102	-91,74874348
103	-91,7463015
104	-91,74380542
105	-91,74134201
106	-91,73899176
107	-91,7366871
108	-91,73425968
109	-91,73168766
110	-91,72894034
111	-91,72599902
112	-91,72283795
113	-91,71956064
114	-91,71628518
115	-91,71308943
116	-91,71001878
117	-91,70688952
118	-91,70369443
119	-91,70050952
120	-91,69738305
121	-91,6943424
122	-91,69137862
123	-91,68867024
124	-91,68624269
125	-91,68405165
126	-91,6820156
127	-91,68024501
128	-91,67861978
129	-91,67717717
130	-91,67590588
131	-91,67473844
132	-91,67371777
133	-91,67280526
134	-91,67197772
135	-91,67121126
136	-91,67042872
137	-91,66970901
138	-91,66899342
139	-91,66817215
140	-91,66722399
141	-91,66628189
142	-91,66533677
143	-91,66444239
144	-91,66358358
145	-91,66279541
146	-91,66207028
147	-91,6614188
148	-91,66092105
149	-91,66056733
150	-91,66038057
151	-91,66044471
152	-91,66061261
153	-91,66082065
154	-91,6610652
155	-91,66147089
156	-91,66209476
157	-91,66284154
158	-91,66358225
159	-91,66429448
160	-91,66495109
161	-91,66579356
162	-91,66695334
163	-91,66832779
164	-91,66989264
165	-91,67168
166	-91,67366
167	-91,67575238
168	-91,67788732
169	-91,68004033
170	-91,68213035
171	-91,68410132
172	-91,68612384
173	-91,6883841
174	-91,69088984
175	-91,69357753
176	-91,69618889
177	-91,69863196
178	-91,70096917
179	-91,70310714
180	-91,7049482
181	-91,70649192
182	-91,70793951
183	-91,70947075
184	-91,7111044
185	-91,71278092
186	-91,71442262
187	-91,71595978
188	-91,71728914
189	-91,71841755
190	-91,71938572
191	-91,7202888
192	-91,72119525
193	-91,72207786
194	-91,72287432
195	-91,72354249
196	-91,72408529
197	-91,72447138
198	-91,72480227
199	-91,72516408
200	-91,72563679
201	-91,7261628
202	-91,72661491
203	-91,7270523
204	-91,72754976
205	-91,72824965
206	-91,72903579
207	-91,729837
208	-91,73069306
209	-91,73172366
210	-91,73294334
211	-91,73433049
212	-91,73597808
213	-91,73780662
214	-91,73972279
215	-91,74163784
216	-91,74364099
217	-91,74584084
218	-91,74818796
219	-91,75054623
220	-91,75281357
221	-91,75515708
222	-91,75759627
223	-91,76008802
224	-91,76274277
225	-91,76566407
226	-91,76885561
227	-91,77223129
228	-91,7757074
229	-91,77935883
230	-91,78324604
231	-91,7872997
232	-91,79145427
233	-91,79575407
234	-91,80027378
235	-91,80495895
236	-91,80964424
237	-91,81433702
238	-91,81914346
239	-91,82402365
240	-91,82885131
241	-91,83351631
242	-91,83792101
243	-91,84204926
244	-91,84596305
245	-91,84969385
246	-91,85327168
247	-91,85670138
248	-91,85995789
249	-91,86301711
250	-91,8659349
251	-91,86873178
252	-91,87133838
253	-91,87373819
254	-91,87587929
255	-91,87774747
256	-91,87929823
257	-91,88054038
258	-91,88159922
259	-91,88244998
260	-91,88306863
261	-91,88354396
262	-91,88389618
263	-91,88419767
264	-91,88448894
265	-91,88471757
266	-91,88490337
267	-91,88508218
268	-91,88524399
269	-91,88546465
270	-91,88588886
271	-91,88661681
272	-91,88764549
273	-91,88895948
274	-91,89057316
275	-91,89250292
276	-91,89467581
277	-91,89702748
278	-91,89940501
279	-91,90174672
280	-91,90407403
281	-91,90647976
282	-91,90921988
283	-91,9123685
284	-91,91573251
285	-91,91919541
286	-91,92277682
287	-91,92643855
288	-91,93014706
289	-91,93387281
290	-91,93755017
291	-91,94118314
292	-91,9447805
293	-91,94837188
294	-91,95201346
295	-91,95567824
296	-91,95928764
297	-91,96262218
298	-91,9656075
299	-91,968434
300	-91,97121758
301	-91,97395505
302	-91,97668719
303	-91,97932635
304	-91,9818023
305	-91,98409752
306	-91,98623412
307	-91,98832114
308	-91,99043055
309	-91,9925985
310	-91,9948402
311	-91,99712766
312	-91,99940768
313	-92,00162811
314	-92,00378588
315	-92,00594756
316	-92,00811565
317	-92,01034585
318	-92,01261788
319	-92,01484036
320	-92,01707479
321	-92,01936069
322	-92,02175379
323	-92,02425243
324	-92,02682595
325	-92,02950645
326	-92,0322885
327	-92,03518239
328	-92,03815401
329	-92,04099736
330	-92,04361831
331	-92,04621744
332	-92,04885766
333	-92,0516061
334	-92,05457788
335	-92,05775598
336	-92,06112875
337	-92,06455182
338	-92,06796743
339	-92,07132303
340	-92,07456062
341	-92,07774833
342	-92,08092025
343	-92,08410517
344	-92,08753043
345	-92,09121526
346	-92,09501869
347	-92,09884839
348	-92,10261551
349	-92,10634906
350	-92,11009627
351	-92,11384923
352	-92,11766356
353	-92,12161603
354	-92,12573862
355	-92,13010285
356	-92,13455812
357	-92,1389577
358	-92,14324397
359	-92,14723486
360	-92,15092577
361	-92,1544471
362	-92,15788524
363	-92,16135514
364	-92,16492846
365	-92,16859728
366	-92,17219179
367	-92,17570807
368	-92,17908948
369	-92,18230829
370	-92,18529474
371	-92,18818981
372	-92,19107391
373	-92,19392629
374	-92,19680949
375	-92,19974409
376	-92,20257578
377	-92,20517933
378	-92,20753816
379	-92,20968374
380	-92,21165585
381	-92,21371168
382	-92,2159256
383	-92,21827079
384	-92,22077087
385	-92,2234056
386	-92,22621908
387	-92,22926526
388	-92,23270087
389	-92,2364984
390	-92,24047715
391	-92,24457672
392	-92,24890145
393	-92,25357731
394	-92,25857427
395	-92,26387192
396	-92,26932704
397	-92,27475671
398	-92,28007627
399	-92,2851576
400	-92,29004176
401	-92,29470333
402	-92,29928757
403	-92,30378345
404	-92,30829662
405	-92,31307435
406	-92,31816434
407	-92,3235342
408	-92,329044
409	-92,33472034
410	-92,34056597
411	-92,34652218
412	-92,35267551
413	-92,35916337
414	-92,3660657
415	-92,37338586
416	-92,38106486
417	-92,38894127
418	-92,39695776
419	-92,40502475
420	-92,41294643
421	-92,42072009
422	-92,42837036
423	-92,4359774
424	-92,44344194
425	-92,4507718
426	-92,45802696
427	-92,46518569
428	-92,47228777
429	-92,47939898
430	-92,48650882
431	-92,49362725
432	-92,50070655
433	-92,50767132
434	-92,51456387
435	-92,52156347
436	-92,52873736
437	-92,5359918
438	-92,5431445
439	-92,55027101
440	-92,55731584
441	-92,56423434
442	-92,57108676
443	-92,57782163
444	-92,58427926
445	-92,59038625
446	-92,59613178
447	-92,60156563
448	-92,60673293
449	-92,61174171
450	-92,61654264
451	-92,62108167
452	-92,62543613
453	-92,62974109
454	-92,63394651
455	-92,63812588
456	-92,64232131
457	-92,64650164
458	-92,65064873
459	-92,65484963
460	-92,6590681
461	-92,66331385
462	-92,6676164
463	-92,67199904
464	-92,67641945
465	-92,68084403
466	-92,68525351
467	-92,68964623
468	-92,69405266
469	-92,69842728
470	-92,7026476
471	-92,7066556
472	-92,71047267
473	-92,71418076
474	-92,71795786
475	-92,72203854
476	-92,72641683
477	-92,73095363
478	-92,73558699
479	-92,74026954
480	-92,7449795
481	-92,74979214
482	-92,75480624
483	-92,75996902
484	-92,76527919
485	-92,77082042
486	-92,77659665
487	-92,78250757
488	-92,7885015
489	-92,79457749
490	-92,80076694
491	-92,80699299
492	-92,81329887
493	-92,81966665
494	-92,82601314
495	-92,83233759
496	-92,83862043
497	-92,84471137
498	-92,85065239
499	-92,85649412
500	-92,86225942
501	-92,86806492
502	-92,87395045
503	-92,87985074
504	-92,88570826
505	-92,89137497
506	-92,89682196
507	-92,90211394
508	-92,90743369
509	-92,91287532
510	-92,91841044
511	-92,92405096
512	-92,9298163
513	-92,93556238
514	-92,94116943
515	-92,94663421
516	-92,95195028
517	-92,95721267
518	-92,96253244
519	-92,96791523
520	-92,97331782
521	-92,97871264
522	-92,98402092
523	-92,98910769
524	-92,99392411
525	-92,99849782
526	-93,00281562
527	-93,00696073
528	-93,01117277
529	-93,01553779
530	-93,02002342
531	-93,02467668
532	-93,02934033
533	-93,03387928
534	-93,03823357
535	-93,042451
536	-93,04672317
537	-93,05116291
538	-93,05580466
539	-93,06067373
540	-93,0657441
541	-93,07094004
542	-93,07624975
543	-93,08152236
544	-93,08674646
545	-93,0919812
546	-93,0971693
547	-93,10246251
548	-93,10798765
549	-93,1137401
550	-93,11970849
551	-93,12581721
552	-93,13205835
553	-93,13838859
554	-93,14474366
555	-93,15113647
556	-93,15760526
557	-93,16409085
558	-93,17046931
559	-93,17673604
560	-93,18284143
561	-93,18883588
562	-93,19466505
563	-93,20023094
564	-93,20554005
565	-93,2106406
566	-93,21559198
567	-93,22033288
568	-93,22490542
569	-93,22940005
570	-93,23395207
571	-93,23856103
572	-93,24319246
573	-93,24795082
574	-93,25280533
575	-93,25770165
576	-93,26261779
577	-93,26750374
578	-93,27239232
579	-93,27735849
580	-93,28237979
581	-93,28752233
582	-93,29288713
583	-93,29847161
584	-93,3042325
585	-93,30991026
586	-93,31540279
587	-93,3207847
588	-93,32606655
589	-93,33132002
590	-93,33662168
591	-93,34195395
592	-93,3474617
