1pts-51um-l8-7.7um-25deg-150rpm24/11/202208:42:41	
Time (seconds)	Raw Heat Rate (uJ / s)
1	-93,75652396
2	-93,81617562
3	-93,87260729
4	-93,92636591
5	-93,97710373
6	-94,02479131
7	-94,06982242
8	-94,11188749
9	-94,15100049
10	-94,18701194
11	-94,21985526
12	-94,2499873
13	-94,27731548
14	-94,30202986
15	-94,32444454
16	-94,34315063
17	-94,35848112
18	-94,37192923
19	-94,38349964
20	-94,39327768
21	-94,40144712
22	-94,40810436
23	-94,41320118
24	-94,41682971
25	-94,41918829
26	-94,42038657
27	-94,42035918
28	-94,4191089
29	-94,41678581
30	-94,41360778
31	-94,40981145
32	-94,40534614
33	-94,3999614
34	-94,39352612
35	-94,38583802
36	-94,3767439
37	-94,3663294
38	-94,35478005
39	-94,34228113
40	-94,328913
41	-94,31483803
42	-94,30030731
43	-94,28528376
44	-94,26952733
45	-94,25286528
46	-94,23523195
47	-94,21668588
48	-94,19763957
49	-94,17833617
50	-94,15879098
51	-94,13913186
52	-94,11940881
53	-94,09974633
54	-94,08024014
55	-94,06085832
56	-94,04135197
57	-94,02157072
58	-94,00157554
59	-93,9814438
60	-93,96119807
61	-93,94074548
62	-93,92021011
63	-93,89967307
64	-93,87914206
65	-93,85877637
66	-93,83857197
67	-93,81844956
68	-93,79825223
69	-93,77786678
70	-93,75732875
71	-93,73672593
72	-93,71605989
73	-93,69532284
74	-93,6745559
75	-93,6537872
76	-93,63313245
77	-93,61262639
78	-93,59209169
79	-93,57145303
80	-93,55076995
81	-93,5301769
82	-93,50981262
83	-93,48973669
84	-93,46989485
85	-93,45026178
86	-93,43094719
87	-93,4119672
88	-93,39317578
89	-93,37452089
90	-93,35606429
91	-93,33783399
92	-93,31982838
93	-93,30217763
94	-93,28499182
95	-93,26830376
96	-93,25207654
97	-93,23628966
98	-93,22078711
99	-93,20532382
100	-93,18996041
101	-93,17472761
102	-93,15957461
103	-93,1446648
104	-93,13014535
105	-93,1160738
106	-93,10255956
107	-93,08956741
108	-93,07697332
109	-93,06466952
110	-93,05260701
111	-93,04075989
112	-93,02906422
113	-93,01755235
114	-93,00645404
115	-92,99570205
116	-92,9852388
117	-92,97515734
118	-92,96535299
119	-92,95569699
120	-92,94607895
121	-92,93635294
122	-92,92646282
123	-92,91637615
124	-92,90614079
125	-92,89578297
126	-92,88534938
127	-92,87491561
128	-92,86461997
129	-92,85455778
130	-92,84481189
131	-92,83537288
132	-92,8261544
133	-92,817162
134	-92,8083967
135	-92,79991883
136	-92,79174282
137	-92,78399514
138	-92,7768305
139	-92,77017815
140	-92,7639446
141	-92,75803173
142	-92,75232362
143	-92,74678327
144	-92,741392
145	-92,73609251
146	-92,73082401
147	-92,72557874
148	-92,72040469
149	-92,71534348
150	-92,71038453
151	-92,70556446
152	-92,70081321
153	-92,69605549
154	-92,6913416
155	-92,68673668
156	-92,68224485
157	-92,67786689
158	-92,67356293
159	-92,66935881
160	-92,66530396
161	-92,66143956
162	-92,6578064
163	-92,6543743
164	-92,65103623
165	-92,64777719
166	-92,64454368
167	-92,64134585
168	-92,6382525
169	-92,63524819
170	-92,63231801
171	-92,62951293
172	-92,62688223
173	-92,62439951
174	-92,62198319
175	-92,6196072
176	-92,61727161
177	-92,61496274
178	-92,61272995
179	-92,61069086
180	-92,60883011
181	-92,60717497
182	-92,60580755
183	-92,60467638
184	-92,60379909
185	-92,60311331
186	-92,60259051
187	-92,60225241
188	-92,60217176
189	-92,60243851
190	-92,60302027
191	-92,6039372
192	-92,60524392
193	-92,60686165
194	-92,6087038
195	-92,61077068
196	-92,61301945
197	-92,61532315
198	-92,617628
199	-92,61995043
200	-92,6223637
201	-92,62488975
202	-92,62757041
203	-92,6303872
204	-92,63324951
205	-92,63618733
206	-92,63914956
207	-92,64208767
208	-92,64513796
209	-92,64832737
210	-92,65164838
211	-92,65508477
212	-92,65877039
213	-92,66286046
214	-92,66729755
215	-92,67209022
216	-92,67722559
217	-92,68252329
218	-92,68791055
219	-92,6933862
220	-92,69892013
221	-92,70467266
222	-92,71072376
223	-92,71698805
224	-92,72366132
225	-92,73068556
226	-92,7379741
227	-92,74539523
228	-92,75277004
229	-92,76008837
230	-92,76729991
231	-92,77436599
232	-92,78142091
233	-92,78861145
234	-92,79606329
235	-92,80375397
236	-92,81154211
237	-92,81938608
238	-92,82724953
239	-92,83486701
240	-92,84215104
241	-92,84917329
242	-92,85589443
243	-92,86236609
244	-92,86873613
245	-92,87511535
246	-92,88157525
247	-92,88814428
248	-92,8947244
249	-92,9011774
250	-92,90746928
251	-92,91351537
252	-92,91923875
253	-92,92472425
254	-92,9300602
255	-92,93538759
256	-92,94074453
257	-92,94620042
258	-92,95178407
259	-92,95744383
260	-92,96315912
261	-92,96885762
262	-92,97442738
263	-92,97983319
264	-92,98507953
265	-92,99020992
266	-92,99544512
267	-93,00093868
268	-93,00651106
269	-93,01215124
270	-93,01786193
271	-93,02361577
272	-93,02944165
273	-93,03522326
274	-93,04085151
275	-93,04626119
276	-93,05152886
277	-93,05679638
278	-93,06223879
279	-93,06784558
280	-93,07361313
281	-93,07940553
282	-93,0850758
283	-93,09076433
284	-93,09653432
285	-93,10244744
286	-93,10847076
287	-93,11449697
288	-93,12066604
289	-93,12702029
290	-93,13355292
291	-93,14025237
292	-93,14704677
293	-93,15388534
294	-93,16082804
295	-93,16782444
296	-93,17479982
297	-93,18172877
298	-93,18859838
299	-93,19538932
300	-93,20199984
301	-93,20843644
302	-93,21474506
303	-93,22090813
304	-93,22703873
305	-93,2331778
306	-93,23928212
307	-93,24531248
