stp2loop16-63um-in-loop1pts-10um-25deg-250rpm05/12/202208:50:59	
Time (seconds)	Raw Heat Rate (uJ / s)
1	-90,81174551
2	-90,80893407
3	-90,80636426
4	-90,8051432
5	-90,80654463
6	-90,81180392
7	-90,82292362
8	-90,842052
9	-90,87033651
10	-90,90846284
11	-90,9561853
12	-91,01261961
13	-91,07656129
14	-91,14682744
15	-91,22228738
16	-91,30208113
17	-91,38570939
18	-91,47238356
19	-91,5605946
20	-91,64806367
21	-91,73241181
22	-91,81201202
23	-91,8855375
24	-91,9519949
25	-92,00991717
26	-92,05789144
27	-92,0949145
28	-92,12120684
29	-92,1373769
30	-92,14409092
31	-92,14181316
32	-92,1312678
33	-92,11206436
34	-92,08347738
35	-92,04614831
36	-92,00109576
37	-91,94801264
38	-91,88628828
39	-91,81671646
40	-91,73976949
41	-91,65753359
42	-91,57256543
43	-91,48608747
44	-91,39984718
45	-91,31496467
46	-91,23247781
47	-91,15275776
48	-91,07661849
49	-91,00536258
50	-90,93965084
51	-90,87955263
52	-90,82486714
53	-90,7756466
54	-90,7312673
55	-90,69246186
56	-90,65900518
57	-90,63036381
58	-90,60653373
59	-90,5866994
60	-90,57052337
61	-90,55764565
62	-90,54786467
63	-90,54101156
64	-90,53677984
65	-90,53502891
66	-90,53609111
67	-90,54020513
68	-90,54720316
69	-90,55681412
70	-90,56873383
71	-90,58295396
72	-90,59933736
73	-90,61762357
74	-90,63743489
75	-90,6584844
76	-90,68060276
77	-90,70355865
78	-90,72724748
79	-90,75167395
80	-90,7766738
81	-90,80210269
82	-90,82753151
83	-90,85266996
84	-90,87756759
85	-90,90204942
86	-90,92591449
87	-90,9491724
88	-90,97190121
89	-90,99418207
90	-91,01600891
91	-91,03739397
92	-91,0584008
93	-91,07912479
94	-91,09964717
95	-91,11980991
96	-91,13937249
97	-91,158628
98	-91,17782019
99	-91,19676275
100	-91,21537528
101	-91,23354498
102	-91,25123751
103	-91,26862586
104	-91,28570027
105	-91,30235141
106	-91,31853601
107	-91,33415444
108	-91,34909867
109	-91,363286
110	-91,37687872
111	-91,3900159
112	-91,40270765
113	-91,41490766
114	-91,42672496
115	-91,43823316
116	-91,44948564
117	-91,46051064
118	-91,47105837
119	-91,48116971
120	-91,49099953
121	-91,50066332
122	-91,51021693
123	-91,51966452
124	-91,52912231
125	-91,53845054
126	-91,54754183
127	-91,5564619
128	-91,56540933
129	-91,57454349
130	-91,58386964
131	-91,59339756
132	-91,60297673
133	-91,61240773
134	-91,62142685
135	-91,63002781
136	-91,63836159
137	-91,64663901
138	-91,65488258
139	-91,66300001
140	-91,67107491
141	-91,6791579
142	-91,68719631
143	-91,69489477
144	-91,70194418
145	-91,70835362
146	-91,71422374
147	-91,71978083
148	-91,72527595
149	-91,7308302
150	-91,73642794
151	-91,74190971
152	-91,74715798
153	-91,75224404
154	-91,7573171
155	-91,76252021
156	-91,76791422
157	-91,77346074
158	-91,77916334
159	-91,78509016
160	-91,79132678
161	-91,79791581
162	-91,804771
163	-91,81178121
164	-91,81903018
165	-91,82662907
166	-91,83458303
167	-91,84274357
168	-91,85094618
169	-91,85913003
170	-91,86724928
171	-91,87526717
172	-91,88323221
173	-91,89122082
174	-91,89931156
175	-91,90752236
176	-91,91582431
177	-91,92411603
178	-91,93243421
179	-91,94081801
180	-91,94920311
181	-91,95762657
182	-91,96621944
183	-91,97500989
184	-91,98394679
185	-91,99301042
186	-92,00220283
187	-92,01149147
188	-92,02077762
189	-92,02996216
190	-92,03899612
191	-92,04771091
192	-92,05620198
193	-92,06450572
194	-92,0725309
195	-92,08013812
196	-92,08718558
197	-92,0936837
198	-92,0997653
199	-92,10558766
200	-92,11125286
201	-92,11682258
202	-92,1223382
203	-92,12784698
204	-92,1334397
205	-92,13908156
206	-92,144928
207	-92,15102682
208	-92,15730491
209	-92,16377711
210	-92,17054001
211	-92,17775951
212	-92,18544021
213	-92,19345972
214	-92,20156917
215	-92,2094719
216	-92,21710058
217	-92,22457656
218	-92,23195982
219	-92,23926751
220	-92,24658006
221	-92,25383184
222	-92,26104237
223	-92,26834071
224	-92,27576022
225	-92,28326589
226	-92,29066943
227	-92,29777663
228	-92,30461434
229	-92,31132431
230	-92,31804146
231	-92,32483555
232	-92,33169739
233	-92,33865959
234	-92,3455609
235	-92,35219233
236	-92,35847127
237	-92,36426228
238	-92,36948418
239	-92,37406636
240	-92,37798185
241	-92,38131562
242	-92,38428827
243	-92,38699866
244	-92,38948967
245	-92,39186067
246	-92,39404837
247	-92,39594418
248	-92,3975581
249	-92,39905792
250	-92,40059089
251	-92,40214027
252	-92,40372603
253	-92,40542146
254	-92,40731496
255	-92,40940552
256	-92,4117163
257	-92,41426661
258	-92,41698412
259	-92,41974026
260	-92,42240207
261	-92,4249791
262	-92,42743345
263	-92,42972044
264	-92,43176639
265	-92,43354409
266	-92,43517369
267	-92,43671114
268	-92,43813872
269	-92,43945363
270	-92,4407703
271	-92,44199868
272	-92,44300252
273	-92,44376841
274	-92,44437101
275	-92,44473773
276	-92,44473819
277	-92,44439848
278	-92,44375641
279	-92,44287181
280	-92,44189066
281	-92,44089224
282	-92,43994678
283	-92,43909561
284	-92,43842299
285	-92,43792409
286	-92,43773263
287	-92,43781112
288	-92,43805363
289	-92,4384186
290	-92,43897676
291	-92,43983433
292	-92,44105286
293	-92,44264963
294	-92,4446806
295	-92,44711494
296	-92,44986581
297	-92,45285459
298	-92,45594603
299	-92,45898776
300	-92,46195341
301	-92,464782
302	-92,46756194
303	-92,47034772
304	-92,47318107
305	-92,47605778
306	-92,47899803
307	-92,48201187
308	-92,48507408
309	-92,48813579
310	-92,49113763
311	-92,4941253
312	-92,49703908
313	-92,4999066
314	-92,50278899
315	-92,50567235
316	-92,50844573
317	-92,51095302
318	-92,51322125
319	-92,5153174
320	-92,51739873
321	-92,51953565
322	-92,52177912
323	-92,52407773
324	-92,52634808
325	-92,52849095
326	-92,53038447
327	-92,53209642
328	-92,533866
329	-92,5358353
330	-92,53796373
331	-92,54029525
332	-92,54293398
